,biennium,committee,name,isChair,isVice,X
1,2001-02,House Committee on Agriculture & Ecology,Kelli Linville,1,0,NA
2,2001-02,House Committee on Agriculture & Ecology,Sam Hunt,0,0,NA
3,2001-02,House Committee on Agriculture & Ecology,Mark Schoesler,0,0,NA
4,2001-02,House Committee on Agriculture & Ecology,Bruce Chandler,1,0,NA
5,2001-02,House Committee on Agriculture & Ecology,Mike Cooper,0,0,NA
6,2001-02,House Committee on Agriculture & Ecology,Jerome Delvin,0,0,NA
7,2001-02,House Committee on Agriculture & Ecology,Hans Dunshee,0,0,NA
8,2001-02,House Committee on Agriculture & Ecology,Bill Grant,0,0,NA
9,2001-02,House Committee on Agriculture & Ecology,Jane'a Holmquist,0,0,NA
10,2001-02,House Committee on Agriculture & Ecology,Steve Kirby,0,0,NA
11,2001-02,House Committee on Agriculture & Ecology,Dave Quall,0,0,NA
12,2001-02,House Committee on Agriculture & Ecology,Dan Roach,0,0,NA
13,2001-02,House Committee on Agriculture & Ecology,Bob Sump,0,0,NA
14,2001-02,House Committee on Appropriations,Helen Sommers,1,0,NA
15,2001-02,House Committee on Appropriations,Mark Doumit,0,1,NA
16,2001-02,House Committee on Appropriations,Mark Doumit,0,1,NA
17,2001-02,House Committee on Appropriations,Bill Fromhold,0,0,NA
18,2001-02,House Committee on Appropriations,Barry Sehlin,1,0,NA
19,2001-02,House Committee on Appropriations,Gary Alexander,0,0,NA
20,2001-02,House Committee on Appropriations,Marc Boldt,0,0,NA
21,2001-02,House Committee on Appropriations,Jim Buck,0,0,NA
22,2001-02,House Committee on Appropriations,Jim Clements,0,0,NA
23,2001-02,House Committee on Appropriations,Eileen Cody,0,0,NA
24,2001-02,House Committee on Appropriations,Don Cox,0,0,NA
25,2001-02,House Committee on Appropriations,Hans Dunshee,0,0,NA
26,2001-02,House Committee on Appropriations,Bill Grant,0,0,NA
27,2001-02,House Committee on Appropriations,Ruth Kagi,0,0,NA
28,2001-02,House Committee on Appropriations,Karen Keiser,0,0,NA
29,2001-02,House Committee on Appropriations,Phyllis Kenney,0,0,NA
30,2001-02,House Committee on Appropriations,Lynn Kessler,0,0,NA
31,2001-02,House Committee on Appropriations,Kelli Linville,0,0,NA
32,2001-02,House Committee on Appropriations,Barbara Lisk,0,0,NA
33,2001-02,House Committee on Appropriations,Dave Mastin,0,0,NA
34,2001-02,House Committee on Appropriations,Jim McIntire,0,0,NA
35,2001-02,House Committee on Appropriations,Kirk Pearson,0,0,NA
36,2001-02,House Committee on Appropriations,Cheryl Pflug,0,0,NA
37,2001-02,House Committee on Appropriations,Laura Ruderman,0,0,NA
38,2001-02,House Committee on Appropriations,Shay Schual-Berke,0,0,NA
39,2001-02,House Committee on Appropriations,Gigi Talcott,0,0,NA
40,2001-02,House Committee on Appropriations,Kip Tokuda,0,0,NA
41,2001-02,House Committee on Capital Budget,Ed Murray,1,0,NA
42,2001-02,House Committee on Capital Budget,Jim McIntire,0,1,NA
43,2001-02,House Committee on Capital Budget,Gary Alexander,1,0,NA
44,2001-02,House Committee on Capital Budget,Mike Armstrong,0,1,NA
45,2001-02,House Committee on Capital Budget,Roger Bush,0,0,NA
46,2001-02,House Committee on Capital Budget,Sarah Casada,0,0,NA
47,2001-02,House Committee on Capital Budget,Maralyn Chase,0,0,NA
48,2001-02,House Committee on Capital Budget,Luke Esser,0,1,NA
49,2001-02,House Committee on Capital Budget,Shirley Hankins,0,0,NA
50,2001-02,House Committee on Capital Budget,Sam Hunt,0,0,NA
51,2001-02,House Committee on Capital Budget,Patricia Lantz,0,0,NA
52,2001-02,House Committee on Capital Budget,Al O'Brien,0,0,NA
53,2001-02,House Committee on Capital Budget,Val Ogden,0,0,NA
54,2001-02,House Committee on Capital Budget,Erik Poulsen,0,0,NA
55,2001-02,House Committee on Capital Budget,Aaron Reardon,0,0,NA
56,2001-02,House Committee on Capital Budget,Mark Schoesler,0,0,NA
57,2001-02,House Committee on Capital Budget,Velma Veloria,0,0,NA
58,2001-02,House Committee on Capital Budget,Beverly Woods,0,0,NA
59,2001-02,House Committee on Children & Family Services,Kip Tokuda,1,0,NA
60,2001-02,House Committee on Children & Family Services,Ruth Kagi,0,1,NA
61,2001-02,House Committee on Children & Family Services,Marc Boldt,1,0,NA
62,2001-02,House Committee on Children & Family Services,Jeannie Darneille,0,0,NA
63,2001-02,House Committee on Children & Family Services,Mary Lou Dickerson,0,0,NA
64,2001-02,House Committee on Children & Family Services,Mark Miloscia,0,0,NA
65,2001-02,House Committee on Children & Family Services,Dave Morell,0,1,NA
66,2001-02,House Committee on Commerce & Labor,Steve Conway,1,0,NA
67,2001-02,House Committee on Commerce & Labor,Alex Wood,0,1,NA
68,2001-02,House Committee on Commerce & Labor,Jim Clements,1,0,NA
69,2001-02,House Committee on Commerce & Labor,Bruce Chandler,0,1,NA
70,2001-02,House Committee on Commerce & Labor,Larry Crouse,0,0,NA
71,2001-02,House Committee on Commerce & Labor,Jane'a Holmquist,0,0,NA
72,2001-02,House Committee on Commerce & Labor,Phyllis Kenney,0,0,NA
73,2001-02,House Committee on Commerce & Labor,Toni Lysen,0,0,NA
74,2001-02,House Committee on Criminal Justice & Corrections,Al O'Brien,0,1,NA
75,2001-02,House Committee on Criminal Justice & Corrections,John Lovick,0,0,1
76,2001-02,House Committee on Criminal Justice & Corrections,Ida Ballasiotes,0,1,NA
77,2001-02,House Committee on Criminal Justice & Corrections,John Ahern,0,0,1
78,2001-02,House Committee on Criminal Justice & Corrections,Ruth Kagi,0,0,NA
79,2001-02,House Committee on Criminal Justice & Corrections,Dave Morell,0,0,NA
80,2001-02,House Committee on Education,Dave Quall,1,0,NA
81,2001-02,House Committee on Education,Kathy Haigh,0,1,NA
82,2001-02,House Committee on Education,Gigi Talcott,1,0,NA
83,2001-02,House Committee on Education,Glenn Anderson,0,1,NA
84,2001-02,House Committee on Education,Don Cox,0,0,NA
85,2001-02,House Committee on Education,Karen Keiser,0,0,NA
86,2001-02,House Committee on Education,Joe McDermott,0,0,NA
87,2001-02,House Committee on Education,Phil Rockefeller,0,0,NA
88,2001-02,House Committee on Education,Sharon Tomiko Santos,0,0,NA
89,2001-02,House Committee on Education,Dave Schmidt,0,0,NA
90,2001-02,House Committee on Education,Dave Upthegrove,0,0,NA
91,2001-02,House Committee on Finance,Jeff Gombosky,0,0,NA
92,2001-02,House Committee on Finance,Jean Berkey,0,1,NA
93,2001-02,House Committee on Finance,Jack Cairnes,1,0,NA
94,2001-02,House Committee on Finance,Steve Conway,1,0,NA
95,2001-02,House Committee on Finance,Jeff Morris,0,0,NA
96,2001-02,House Committee on Finance,Toby Nixon,0,0,NA
97,2001-02,House Committee on Finance,Ed Orcutt,0,0,NA
98,2001-02,House Committee on Finance,Dan Roach,0,1,NA
99,2001-02,House Committee on Finance,Sharon Tomiko Santos,0,0,NA
100,2001-02,House Committee on Finance,Steve Van Luven,0,0,NA
101,2001-02,House Committee on Finance,Velma Veloria,0,0,NA
102,2001-02,House Committee on Financial Institutions & Insurance,Mike Cooper,0,0,NA
103,2001-02,House Committee on Financial Institutions & Insurance,Jim McIntire,0,1,NA
104,2001-02,House Committee on Financial Institutions & Insurance,Brad Benson,1,0,NA
105,2001-02,House Committee on Financial Institutions & Insurance,Kelly Barlean,0,0,NA
106,2001-02,House Committee on Financial Institutions & Insurance,Jack Cairnes,0,0,NA
107,2001-02,House Committee on Financial Institutions & Insurance,Brian Hatfield,1,0,NA
108,2001-02,House Committee on Financial Institutions & Insurance,Karen Keiser,0,0,NA
109,2001-02,House Committee on Financial Institutions & Insurance,Tom Mielke,0,0,NA
110,2001-02,House Committee on Financial Institutions & Insurance,Mark Miloscia,0,0,NA
111,2001-02,House Committee on Financial Institutions & Insurance,Dan Roach,0,0,NA
112,2001-02,House Committee on Financial Institutions & Insurance,Sharon Tomiko Santos,0,0,NA
113,2001-02,House Committee on Financial Institutions & Insurance,Geoff Simpson,0,0,NA
114,2001-02,House Committee on Health Care,Eileen Cody,1,0,NA
115,2001-02,House Committee on Health Care,Shay Schual-Berke,0,1,NA
116,2001-02,House Committee on Health Care,Tom Campbell,1,0,NA
117,2001-02,House Committee on Health Care,Gary Alexander,0,0,NA
118,2001-02,House Committee on Health Care,Ida Ballasiotes,0,0,NA
119,2001-02,House Committee on Health Care,Brad Benson,0,0,NA
120,2001-02,House Committee on Health Care,Steve Conway,0,0,NA
121,2001-02,House Committee on Health Care,Jeannie Darneille,0,0,NA
122,2001-02,House Committee on Health Care,Jeanne Edwards,0,0,NA
123,2001-02,House Committee on Health Care,Laura Ruderman,0,0,NA
124,2001-02,House Committee on Health Care,Mary Skinner,0,1,NA
125,2001-02,House Committee on Higher Education,Phyllis Kenney,1,0,NA
126,2001-02,House Committee on Higher Education,Bill Fromhold,0,0,NA
127,2001-02,House Committee on Higher Education,Don Cox,1,0,NA
128,2001-02,House Committee on Higher Education,Maralyn Chase,0,0,NA
129,2001-02,House Committee on Higher Education,Jim Dunn,0,0,NA
130,2001-02,House Committee on Higher Education,Jeff Gombosky,0,1,NA
131,2001-02,House Committee on Higher Education,Fred Jarrett,0,1,NA
132,2001-02,House Committee on Higher Education,Patricia Lantz,0,0,NA
133,2001-02,House Committee on Higher Education,Mary Skinner,0,0,NA
134,2001-02,House Committee on Judiciary,Patricia Lantz,1,0,NA
135,2001-02,House Committee on Judiciary,Christopher Hurst,0,1,NA
136,2001-02,House Committee on Judiciary,Mike Carrell,1,0,NA
137,2001-02,House Committee on Judiciary,Marc Boldt,0,0,NA
138,2001-02,House Committee on Judiciary,Mary Lou Dickerson,0,0,NA
139,2001-02,House Committee on Judiciary,Luke Esser,0,0,NA
140,2001-02,House Committee on Judiciary,Fred Jarrett,0,0,NA
141,2001-02,House Committee on Judiciary,John Lovick,0,0,NA
142,2001-02,House Committee on Judiciary,Toni Lysen,0,0,NA
143,2001-02,House Committee on Juvenile Justice & Family Law,Mary Lou Dickerson,1,0,NA
144,2001-02,House Committee on Juvenile Justice & Family Law,Jeannie Darneille,0,0,NA
145,2001-02,House Committee on Juvenile Justice & Family Law,Jerome Delvin,1,0,NA
146,2001-02,House Committee on Juvenile Justice & Family Law,Mike Armstrong,0,0,NA
147,2001-02,House Committee on Juvenile Justice & Family Law,Mike Carrell,0,0,NA
148,2001-02,House Committee on Juvenile Justice & Family Law,"William ""Ike"" Eickmeyer",0,1,NA
149,2001-02,House Committee on Juvenile Justice & Family Law,Kip Tokuda,0,0,NA
150,2001-02,House Committee on Local Government & Housing,Hans Dunshee,1,0,NA
151,2001-02,House Committee on Local Government & Housing,Jeanne Edwards,0,1,NA
152,2001-02,House Committee on Local Government & Housing,Joyce Mulliken,1,0,NA
153,2001-02,House Committee on Local Government & Housing,Jean Berkey,0,0,NA
154,2001-02,House Committee on Local Government & Housing,Larry Crouse,0,0,NA
155,2001-02,House Committee on Local Government & Housing,Richard DeBolt,0,0,NA
156,2001-02,House Committee on Local Government & Housing,Jim Dunn,0,0,NA
157,2001-02,House Committee on Local Government & Housing,Brian Hatfield,0,0,NA
158,2001-02,House Committee on Local Government & Housing,Steve Kirby,0,0,NA
159,2001-02,House Committee on Local Government & Housing,Tom Mielke,0,1,NA
160,2001-02,House Committee on Local Government & Housing,Brian Sullivan,0,0,NA
161,2001-02,House Committee on Natural Resources,Mark Doumit,1,0,NA
162,2001-02,House Committee on Natural Resources,Mark Doumit,1,0,NA
163,2001-02,House Committee on Natural Resources,Phil Rockefeller,0,1,NA
164,2001-02,House Committee on Natural Resources,Bob Sump,1,0,NA
165,2001-02,House Committee on Natural Resources,Jim Buck,0,0,NA
166,2001-02,House Committee on Natural Resources,"William ""Ike"" Eickmeyer",0,0,NA
167,2001-02,House Committee on Natural Resources,Doug Ericksen,0,0,NA
168,2001-02,House Committee on Natural Resources,Brock Jackley,0,0,NA
169,2001-02,House Committee on Natural Resources,Joe McDermott,0,0,NA
170,2001-02,House Committee on Natural Resources,Ed Orcutt,0,0,NA
171,2001-02,House Committee on Natural Resources,Kirk Pearson,0,1,NA
