"biennium","year","commId","position","repId"
"2009-10",2010,"J1","Chair","3478_09"
"2009-10",2010,"J1","Vice Chair","1611_09"
"2009-10",2010,"J1","Ranking Minority Member","14211_09"
"2009-10",2009,"J1","Chair","3478_09"
"2009-10",2009,"J1","Vice Chair","14210_09"
"2009-10",2009,"J1","Ranking Minority Member","3469_09"
"2007-08",2008,"I27","Chair","10057_07"
"2007-08",2008,"I27","Vice Chair","12073_07"
"2007-08",2008,"I27","Ranking Minority Member","1577_07"
"2007-08",2007,"I2","Chair","3475_07"
"2007-08",2007,"I2","Vice Chair","7240_07"
"2007-08",2007,"I2","Ranking Minority Member","8297_07"
"2007-08",2007,"I3","Chair","646_07"
"2007-08",2007,"I3","Vice Chair","10032_07"
"2007-08",2007,"I3","Ranking Minority Member","5161_07"
"2005-06",2005,"H10","Chair","2314_05"
"2005-06",2005,"H10","Vice Chair","9997_05"
"2005-06",2005,"H10","Ranking Minority Member","3972_05"
"2003-04",2004,"G5","Chair","2149_03"
"2003-04",2004,"G5","Vice Chair","5156_03"
"2003-04",2004,"G5","Ranking Minority Member","2172_03"
"2003-04",2004,"G6","Chair","649_03"
"2003-04",2004,"G6","Vice Chair","5141_03"
"2003-04",2004,"G6","Ranking Minority Member","658_03"
"2003-04",2004,"G9","Chair","2150_03"
"2003-04",2004,"G9","Vice Chair","1712_03"
"2003-04",2004,"G9","Ranking Minority Member","2160_03"
"2003-04",2004,"G14","Chair","651_03"
"2003-04",2004,"G14","Vice Chair","5157_03"
"2003-04",2004,"G14","Ranking Minority Member","3249_03"
"2003-04",2004,"G19","Chair","1907_03"
"2003-04",2004,"G19","Vice Chair","3481_03"
"2003-04",2004,"G19","Vice Chair","9608_03"
"2003-04",2004,"G19","Ranking Minority Member","3473_03"
"2003-04",2004,"G30","Chair","268_03"
"2003-04",2004,"G30","Vice Chair","3472_03"
"2003-04",2004,"G30","Ranking Minority Member","2304_03"
"2003-04",2003,"G1","Chair","407_03"
"2003-04",2003,"G1","Vice Chair","5158_03"
"2003-04",2003,"G1","Ranking Minority Member","653_03"
"2003-04",2003,"G3","Chair","3487_03"
"2003-04",2003,"G3","Vice Chair","5156_03"
"2003-04",2003,"G3","Ranking Minority Member","1584_03"
"2003-04",2003,"G17","Chair","2144_03"
"2003-04",2003,"G17","Vice Chair","3482_03"
"2003-04",2003,"G17","Vice Chair","7240_03"
"2003-04",2003,"G17","Ranking Minority Member","1573_03"
"2003-04",2003,"G30","Chair","268_03"
"2003-04",2003,"G30","Vice Chair","3472_03"
"2003-04",2003,"G30","Ranking Minority Member","2304_03"
"2001-02",2002,"F0","Chair","646_01"
"2001-02",2002,"F0","Vice Chair","5155_01"
"2001-02",2002,"F0","Ranking Minority Member","652_01"
"2001-02",2002,"F1","Chair","407_01"
"2001-02",2002,"F1","Vice Chair","2174_01"
"2001-02",2002,"F1","Vice Chair","5158_01"
"2001-02",2002,"F1","Ranking Minority Member","653_01"
"2001-02",2002,"F2","Chair","1907_01"
"2001-02",2002,"F2","Vice Chair","3447_01"
