id,addTerms,type
17,9,rep
72,3,rep
75,5,rep
136,9,rep
142,2,sen
143,2,sen
157,5,rep
167,3,rep
171,2,sen
173,4,rep
174,2,sen
188,2,sen
198,2,sen
250,5,rep
268,5,sen
269,4,sen
286,3,rep
295,2,sen
315,5,rep
316,2,sen
337,2,sen
347,2,sen
361,2,sen
394,1,sen
405,2,sen
407,14,rep
409,2,sen
443,9,rep
460,3,sen
475,2,sen
512,2,sen
516,2,sen
564,2,sen
617,4,rep
618,1,sen
619,3,rep
620,4,rep
630,3,rep
635,1,sen
643,4,rep
644,2,sen
646,3,rep
647,1,sen
648,4,rep
649,4,rep
651,4,rep
652,4,rep
653,3,rep
657,1,sen
658,4,rep
659,1,sen
661,4,rep
972,4,rep
973,1,sen
1157,4,rep
1381,2,rep
1543,4,rep
1570,3,rep
1572,3,rep
1573,3,rep
1574,3,rep
1584,3,rep
1585,3,rep
1586,3,rep
1587,3,rep
1589,3,rep
1590,3,rep
1591,3,rep
1592,3,rep
1595,3,rep
1599,2,sen
1602,2,sen
1603,1,sen
1609,3,rep
1648,1,rep
1649,3,rep
1658,3,rep
1659,3,rep
1661,4,rep
1666,1,sen
1887,2,rep
1907,3,rep
1922,1,sen
1950,3,rep
2140,1,sen
2142,2,rep
2143,2,rep
2144,2,rep
2145,2,rep
2146,2,rep
2149,2,rep
2150,2,rep
2153,1,sen
2157,2,rep
2158,2,rep
2159,2,rep
2160,2,rep
2166,2,rep
2167,2,rep
2172,2,rep
2174,2,rep
2314,2,rep
2584,1,rep
2742,2,rep
3249,1,rep
3447,2,rep
3467,1,rep
3469,1,rep
3470,1,rep
3471,1,rep
3472,1,rep
3473,1,rep
3474,1,rep
3475,1,rep
3476,1,rep
3478,1,rep
3479,1,rep
3480,1,rep
3481,1,rep
3482,1,rep
3483,1,rep
3484,1,rep
3486,1,rep
3487,1,rep
3972,1,rep
4563,1,rep
