"id","firstYear","firstName","lastName","gender"
"5159","2001-02","John","Ahern",0
"2157","2001-02","Gary","Alexander",0
"5160","2001-02","Glenn","Anderson",0
"14208","2019-20","Jan","Angel",1
"10031","2005-06","Sherry","Appleton",1
"5161","2001-02","Mike","Armstrong",0
"15782","2009-10","Katrina","Asay",1
"8238","2003-04","Barbara","Bailey",1
"17","2001-02","Clyde","Ballard",0
"617","2001-02","Ida","Ballasiotes",1
"24075","2015-16","Andrew","Barkis",0
"3467","2001-02","Kelly","Barlean",0
"12069","2007-08","Don","Barlow",0
"15780","2019-20","Michael","Baumgartner",0
"16270","2011-12","Jeff","Baxter",0
"14083","2009-10","Randi","Becker",0
"2167","2001-02","Brad","Benson",0
"1583","2001-02","Don","Benton",0
"17227","2013-14","Steve","Bergquist",0
"6765","2001-02","Jean","Berkey",1
"15811","2011-12","Andy","Billig",0
"8317","2003-04","Brian","Blake",0
"29094","2019-20","Matt","Boehnke",0
"1584","2001-02","Marc","Boldt",0
"8159","2003-04","Dale","Brandland",0
"17289","2013-14","John","Braun",0
"27981","2017-18","Marlo","Braun ",1
"618","2001-02","Lisa","Brown",1
"17759","2013-14","Sharon","Brown",1
"1585","2001-02","Jim","Buck",0
"4579","2005-06","David","Buri",0
"2158","2001-02","Roger","Bush",0
"15820","2011-12","Vincent","Buys",0
"1572","2001-02","Jack","Cairnes",0
"20760","2015-16","Michelle","Caldier",1
"29092","2019-20","Lisa","Callan",1
"619","2001-02","Tom","Campbell",0
"620","2001-02","Don","Carlson",0
"14325","2009-10","Reuven","Carlyle",0
"1586","2001-02","Mike","Carrell",0
"72","2001-02","Sarah","Casada",1
"29100","2019-20","Kelly","Chambers",1
"3469","2001-02","Bruce","Chandler",0
"75","2001-02","Gary","Chandler",0
"26176","2017-18","Mike","Chapman",0
"1407","2019-20","Maralyn","Chase",1
"1659","2001-02","Frank","Chopp",0
"18458","2013-14","Leonard","Christian",0
"1587","2001-02","Jim","Clements",0
"17294","2013-14","Annette","Cleveland",1
"8209","2003-04","Judy","Clibborn",1
"1543","2001-02","Eileen","Cody",1
"8237","2003-04","Cary","Condotta",0
"2145","2001-02","Dow","Constantine",0
"972","2001-02","Steve","Conway",0
"2150","2001-02","Mike","Cooper",0
"29097","2019-20","Chris","Corry",0
"1655","2001-02","Jeralita ""Jeri""","Costa",1
"3972","2001-02","Don","Cox",0
"1573","2001-02","Larry","Crouse",0
"10040","2005-06","Richard","Curtis",0
"15771","2011-12","Cathy","Dahlquist",1
"14209","2009-10","Bruce","Dammeier",0
"18146","2013-14","Brian","Dansel",0
"5156","2001-02","Jeannie","Darneille",1
"29087","2019-20","Mona","Das",1
"29104","2019-20","Lauren","Davis",1
"2143","2001-02","Richard","DeBolt",0
"516","2001-02","Alex","Deccio",0
"1574","2001-02","Jerome","Delvin",0
"20761","2015-16","Tom","Dent",0
"28022","2017-18","Manka","Dhingra",1
"1570","2001-02","Mary Lou","Dickerson",1
"26175","2017-18","Beth","Doglio",1
"26174","2017-18","Laurie","Dolan",1
"2174","2001-02","Mark","Doumit",0
"14256","2009-10","John","Driscoll",0
"29877","2019-20","Davina","Duerr",1
"29098","2019-20","Jeremie","Dufault",0
"2146","2001-02","Jim","Dunn",0
"630","2001-02","Hans","Dunshee",0
"21490","2015-16","Mary","Dye",1
"11997","2007-08","Deborah","Eddy",1
"11997","2007-08","Deb","Eddy",1
"3471","2001-02","Carolyn","Edmonds",1
"3470","2001-02","Jeanne","Edwards",1
"2742","2001-02","William ""Ike""","Eickmeyer",0
"633","2001-02","Tracey","Eide",1
"11403","2019-20","Debra","Entenman",1
"10032","2005-06","Mark","Ericks",0
"3473","2001-02","Doug","Ericksen",0
"27988","2017-18","Carolyn","Eslick",1
"3472","2001-02","Luke","Esser",0
"15098","2009-10","Susan","Fagan",1
"15779","2019-20","Joe","Fain",0
"1603","2001-02","Darlene","Fairley",1
"17307","2013-14","Jessyn","Farrell",1
"17241","2013-14","Jake","Fey",0
"635","2001-02","Bill","Finkbeiner",0
"14203","2009-10","Fred","Finn",0
"136","2001-02","Ruth","Fisher",1
"13198","2009-10","Joe","Fitzgibbon",0
"8412","2003-04","Dennis","Flannigan",0
"3474","2017-18","Phil","Fortunato",0
"23902","2015-16","Noel","Frame",1
"142","2001-02","Rosa","Franklin",1
"143","2001-02","Karen","Fraser",1
"17317","2013-14","Roger","Freeman",0
"15821","2011-12","David","Frockt",0
"5158","2001-02","Bill","Fromhold",0
"2153","2001-02","Georgia","Gardner",1
"29101","2019-20","Chris","Gildon",0
"29096","2019-20","Keith","Goehner",0
"1381","2001-02","Jeff","Gombosky",0
"11999","2007-08","Roger","Goodman",0
"15419","2009-10","Randy","Gordon",0
"29093","2019-20","Jenny","Graham",1
"157","2001-02","Bill","Grant",0
"14874","2009-10","Laura","Grant",1
"26169","2017-18","Paul","Graves",0
"10021","2005-06","Tami","Green",1
"18264","2013-14","Mia","Gregerson",1
"21043","2015-16","Carol","Gregory",1
"20752","2015-16","Dan","Griffey",0
"17216","2013-14","Cyrus","Habib",0
"3475","2001-02","Kathy","Haigh",1
"12081","2007-08","Steve","Hailey",0
"1599","2001-02","Patricia","Hale",1
"9996","2005-06","Larry","Haler",0
"167","2001-02","Shirley","Hankins",1
"16499","2011-12","Drew","Hansen",0
"171","2001-02","James","Hargrove",0
"15822","2011-12","Mark","Hargrove",0
"171","2001-02","Jim","Hargrove",0
"20740","2015-16","Mark","Harmsworth",0
"15778","2011-12","Nick","Harper",0
"15813","2011-12","Paul","Harris",0
"10030","2005-06","Bob","Hasegawa",0
"173","2001-02","Brian","Hatfield",0
"174","2001-02","Mary Margaret","Haugen",1
"2006","2013-14","Brad","Hawkins",0
"17219","2013-14","Dave","Hayes",0
"9550","2007-08","Jaime","Herrera",1
"5880","2001-02","Mike","Hewitt",0
"22559","2015-16","Teri","Hickel",1
"15781","2011-12","Andy","Hill",0
"8240","2003-04","Bill","Hinkle",0
"12072","2007-08","Steve","Hobbs",0
"188","2001-02","Harold","Hochstatter",0
"29099","2019-20","Larry","Hoff",0
"3430","2001-02","Jane'a","Holmquist",1
"3430","2001-02","Janéa","Holmquist",1
"3430","2001-02","Janéa","Holmquist Newbry",1
"17223","2013-14","Jeff","Holy",0
"1577","2001-02","Jim","Honeyford",0
"14276","2009-10","Mike","Hope",0
