leg,biennium,sessTitle,dateStart,dateEnd
52,1991-92,R1,1991-01-14,1991-04-28
52,1991-92,S1,1991-06-10,1991-06-30
52,1991-92,R2,1992-01-13,1992-03-12
53,1993-94,R1,1993-01-11,1993-04-25
53,1993-94,S1,1993-04-26,1993-05-06
53,1993-94,R2,1994-01-10,1994-03-10
53,1993-94,S2,1994-03-11,1994-03-14
54,1995-96,R1,1995-01-09,1995-04-23
54,1995-96,S1,1995-04-24,1995-05-23
54,1995-96,S2,1995-05-24,1995-05-25
54,1995-96,S3,1995-10-12,1995-10-14
54,1995-96,R2,1996-01-08,1996-03-07
55,1997-98,R1,1997-01-13,1997-04-27
55,1997-98,S1,1997-09-17,1997-09-17
55,1997-98,R2,1998-01-12,1998-03-12
56,1999-00,R1,1999-01-11,1999-04-25
56,1999-00,S1,1999-05-17,1999-05-19
56,1999-00,R2,2000-01-10,2000-03-09
56,1999-00,S2,2000-03-10,2000-04-07
56,1999-00,S3,2000-04-24,2000-04-27
57,2001-02,R1,2001-01-08,2001-04-22
57,2001-02,S1,2001-04-25,2001-05-24
57,2001-02,S2,2001-06-04,2001-06-21
57,2001-02,S3,2001-07-16,2001-07-25
57,2001-02,R2,2002-01-14,2002-03-14
58,2003-04,R1,2003-01-13,2003-04-27
58,2003-04,S1,2003-05-12,2003-06-10
58,2003-04,S2,2003-06-11,2003-06-11
58,2003-04,S3,2003-12-05,2003-12-05
58,2003-04,R2,2004-01-12,2004-03-11
59,2005-06,R1,2005-01-10,2005-04-24
59,2005-06,R2,2006-01-09,2006-03-09
60,2007-08,R1,2007-01-08,2007-04-22
60,2007-08,S1,2007-11-29,2007-11-29
60,2007-08,R2,2008-01-14,2008-03-13
61,2009-10,R1,2009-01-12,2009-04-26
61,2009-10,R2,2010-01-11,2010-03-11
61,2009-10,S1,2010-03-15,2010-04-12
61,2009-10,S2,2010-12-11,2010-12-11
62,2011-12,R1,2011-01-10,2011-04-22
62,2011-12,S1,2011-04-26,2011-05-25
62,2011-12,S2,2011-11-28,2011-12-14
62,2011-12,R2,2012-01-09,2012-03-08
62,2011-12,S3,2012-03-12,2012-04-10
62,2011-12,S4,2012-04-11,2012-04-11
63,2013-14,R1,2013-01-14,2013-04-28
63,2013-14,S1,2013-05-13,2013-06-11
63,2013-14,S2,2013-06-12,2013-06-29
63,2013-14,S3,2013-11-07,2013-11-09
63,2013-14,R2,2014-01-13,2014-03-13
64,2015-16,R1,2015-01-12,2015-04-24
64,2015-16,S1,2015-04-29,2015-05-28
64,2015-16,S2,2015-05-29,2015-06-27
64,2015-16,S3,2015-06-28,2015-07-10
64,2015-16,R2,2016-01-11,2016-03-10
64,2015-16,S4,2016-03-10,2016-03-29
65,2017-18,R1,2017-01-09,2017-04-23
65,2017-18,S1,2017-04-24,2017-05-23
65,2017-18,S2,2017-05-23,2017-06-21
65,2017-18,S3,2017-06-21,2017-07-20
65,2017-18,R2,2018-01-08,2018-03-08
66,2019-20,R1,2019-01-14,2019-04-28
66,2019-20,R2,2020-01-13,2020-03-12
