,repId,firstYear,firstName,lastName,gender
1,5159,2001-02,John,Ahern,0
2,2157,2001-02,Gary,Alexander,0
3,5160,2001-02,Glenn,Anderson,0
4,14208,2019-20,Jan,Angel,1
5,10031,2005-06,Sherry,Appleton,1
6,5161,2001-02,Mike,Armstrong,0
7,15782,2009-10,Katrina,Asay,1
8,8238,2003-04,Barbara,Bailey,1
9,17,2001-02,Clyde,Ballard,0
10,617,2001-02,Ida,Ballasiotes,1
11,24075,2015-16,Andrew,Barkis,0
12,3467,2001-02,Kelly,Barlean,0
13,12069,2007-08,Don,Barlow,0
14,15780,2019-20,Michael,Baumgartner,0
15,16270,2011-12,Jeff,Baxter,0
16,14083,2009-10,Randi,Becker,0
17,2167,2001-02,Brad,Benson,0
18,1583,2001-02,Don,Benton,0
19,17227,2013-14,Steve,Bergquist,0
20,6765,2001-02,Jean,Berkey,1
21,15811,2011-12,Andy,Billig,0
22,8317,2003-04,Brian,Blake,0
23,29094,2019-20,Matt,Boehnke,0
24,1584,2001-02,Marc,Boldt,0
25,8159,2003-04,Dale,Brandland,0
26,17289,2013-14,John,Braun,0
27,27981,2017-18,Marlo,Braun ,1
28,618,2001-02,Lisa,Brown,1
29,17759,2013-14,Sharon,Brown,1
30,1585,2001-02,Jim,Buck,0
31,4579,2005-06,David,Buri,0
32,2158,2001-02,Roger,Bush,0
33,15820,2011-12,Vincent,Buys,0
34,1572,2001-02,Jack,Cairnes,0
35,20760,2015-16,Michelle,Caldier,1
36,29092,2019-20,Lisa,Callan,1
37,619,2001-02,Tom,Campbell,0
38,620,2001-02,Don,Carlson,0
39,14325,2009-10,Reuven,Carlyle,0
40,1586,2001-02,Mike,Carrell,0
41,72,2001-02,Sarah,Casada,1
42,29100,2019-20,Kelly,Chambers,1
43,3469,2001-02,Bruce,Chandler,0
44,75,2001-02,Gary,Chandler,0
45,26176,2017-18,Mike,Chapman,0
46,1407,2019-20,Maralyn,Chase,1
47,1659,2001-02,Frank,Chopp,0
