,repId,leg,firstName,lastName,type,district,party,gender,biennium,startDate,endDate
1,173_15,64,Brian,Hatfield,sen,19,D,M,2015-16,NA,10/22/2015
2,10249_15,64,Dean,Takko,sen,19,D,M,2015-16,10/22/2015,NA
3,17289_17,65,John,Braun,sen,20,R,M,2017-18,NA,NA
4,27981_17,65,Marlo,Braun ,sen,20,R,F,2017-18,7/18/2017,7/23/2017
5,13546_13,63,Marko,Liias,sen,21,D,M,2013-14,1/22/2014,NA
6,655_13,63,Paull,Shin,sen,21,D,M,2013-14,NA,1/7/2014
7,14208_13,63,Jan,Angel,sen,26,R,F,2013-14,12/17/2013,NA
8,17687_13,63,Nathan,Schlicher,sen,26,D,M,2013-14,NA,12/17/2013
9,1586_13,63,Mike,Carrell,sen,28,R,M,2013-14,NA,5/29/2013
10,17217_13,63,Steve,O'Ban,sen,28,R,M,2013-14,6/4/2013,NA
11,14325_15,64,Reuven,Carlyle,sen,36,D,M,2015-16,1/7/2016,NA
12,644_15,64,Jeanne,Kohl-Welles,sen,36,D,F,2015-16,NA,12/31/2015
13,15778_13,63,Nick,Harper,sen,38,D,M,2013-14,11/9/2013,NA
14,8211_13,63,John,McCoy,sen,38,D,M,2013-14,NA,11/27/2013
15,5163_17,65,Kirk,Pearson,sen,39,R,M,2017-18,NA,12/31/2017
16,28317_17,65,Keith,Wagoner,sen,39,R,M,2017-18,1/3/2018,NA
17,1907_13,63,Ed,Murray,sen,43,D,M,2013-14,NA,12/3/2013
18,12002_13,63,Jamie,Pedersen,sen,43,D,M,2013-14,12/3/2013,NA
19,28022_17,65,Manka,Dhingra,sen,45,D,F,2017-18,11/29/2017,NA
20,2140_17,65,Dino,Rossi,sen,45,R,M,2017-18,NA,11/29/2017
21,18146_13,63,Brian,Dansel,sen,7,R,M,2013-14,12/6/2013,NA
22,18146_17,65,Brian,Dansel,sen,7,R,M,2017-18,NA,1/24/2017
23,11952_17,65,Shelly,Short,sen,7,R,F,2017-18,2/1/2017,NA
24,17613_13,63,John,Smith,sen,7,R,M,2013-14,NA,11/26/2013
25,17759_13,63,Sharon,Brown,sen,8,R,F,2013-14,2/4/2013,NA
