"","Biennium","Committee","Name"
"1","2001-02","House Committee on Agriculture & Ecology","Kelli Linville"
"2","2001-02","House Committee on Agriculture & Ecology","Sam Hunt"
"3","2001-02","House Committee on Agriculture & Ecology","Mark Schoesler"
"4","2001-02","House Committee on Agriculture & Ecology","Bruce Chandler"
"5","2001-02","House Committee on Agriculture & Ecology","Mike Cooper"
"6","2001-02","House Committee on Agriculture & Ecology","Jerome Delvin"
"7","2001-02","House Committee on Agriculture & Ecology","Hans Dunshee"
"8","2001-02","House Committee on Agriculture & Ecology","Bill Grant"
"9","2001-02","House Committee on Agriculture & Ecology","Jane'a Holmquist"
"10","2001-02","House Committee on Agriculture & Ecology","Steve Kirby"
"11","2001-02","House Committee on Agriculture & Ecology","Dave Quall"
"12","2001-02","House Committee on Agriculture & Ecology","Dan Roach"
"13","2001-02","House Committee on Agriculture & Ecology","Bob Sump"
"14","2001-02","House Committee on Appropriations","Helen Sommers"
"15","2001-02","House Committee on Appropriations","Mark Doumit"
"16","2001-02","House Committee on Appropriations","Mark Doumit"
"17","2001-02","House Committee on Appropriations","Bill Fromhold"
"18","2001-02","House Committee on Appropriations","Barry Sehlin"
"19","2001-02","House Committee on Appropriations","Gary Alexander"
"20","2001-02","House Committee on Appropriations","Marc Boldt"
"21","2001-02","House Committee on Appropriations","Jim Buck"
"22","2001-02","House Committee on Appropriations","Jim Clements"
"23","2001-02","House Committee on Appropriations","Eileen Cody"
"24","2001-02","House Committee on Appropriations","Don Cox"
"25","2001-02","House Committee on Appropriations","Hans Dunshee"
"26","2001-02","House Committee on Appropriations","Bill Grant"
"27","2001-02","House Committee on Appropriations","Ruth Kagi"
"28","2001-02","House Committee on Appropriations","Karen Keiser"
"29","2001-02","House Committee on Appropriations","Phyllis Kenney"
"30","2001-02","House Committee on Appropriations","Lynn Kessler"
"31","2001-02","House Committee on Appropriations","Kelli Linville"
"32","2001-02","House Committee on Appropriations","Barbara Lisk"
"33","2001-02","House Committee on Appropriations","Dave Mastin"
"34","2001-02","House Committee on Appropriations","Jim McIntire"
"35","2001-02","House Committee on Appropriations","Kirk Pearson"
"36","2001-02","House Committee on Appropriations","Cheryl Pflug"
"37","2001-02","House Committee on Appropriations","Laura Ruderman"
"38","2001-02","House Committee on Appropriations","Shay Schual-Berke"
"39","2001-02","House Committee on Appropriations","Gigi Talcott"
"40","2001-02","House Committee on Appropriations","Kip Tokuda"
"41","2001-02","House Committee on Capital Budget","Ed Murray"
"42","2001-02","House Committee on Capital Budget","Jim McIntire"
"43","2001-02","House Committee on Capital Budget","Gary Alexander"
"44","2001-02","House Committee on Capital Budget","Mike Armstrong"
"45","2001-02","House Committee on Capital Budget","Roger Bush"
"46","2001-02","House Committee on Capital Budget","Sarah Casada"
"47","2001-02","House Committee on Capital Budget","Maralyn Chase"
"48","2001-02","House Committee on Capital Budget","Luke Esser"
"49","2001-02","House Committee on Capital Budget","Shirley Hankins"
"50","2001-02","House Committee on Capital Budget","Sam Hunt"
"51","2001-02","House Committee on Capital Budget","Patricia Lantz"
"52","2001-02","House Committee on Capital Budget","Al O'Brien"
"53","2001-02","House Committee on Capital Budget","Val Ogden"
"54","2001-02","House Committee on Capital Budget","Erik Poulsen"
"55","2001-02","House Committee on Capital Budget","Aaron Reardon"
"56","2001-02","House Committee on Capital Budget","Mark Schoesler"
"57","2001-02","House Committee on Capital Budget","Velma Veloria"
"58","2001-02","House Committee on Capital Budget","Beverly Woods"
"59","2001-02","House Committee on Children & Family Services","Kip Tokuda"
"60","2001-02","House Committee on Children & Family Services","Ruth Kagi"
"61","2001-02","House Committee on Children & Family Services","Marc Boldt"
"62","2001-02","House Committee on Children & Family Services","Jeannie Darneille"
"63","2001-02","House Committee on Children & Family Services","Mary Lou Dickerson"
"64","2001-02","House Committee on Children & Family Services","Mark Miloscia"
"65","2001-02","House Committee on Children & Family Services","Dave Morell"
"66","2001-02","House Committee on Commerce & Labor","Steve Conway"
"67","2001-02","House Committee on Commerce & Labor","Alex Wood"
"68","2001-02","House Committee on Commerce & Labor","Jim Clements"
"69","2001-02","House Committee on Commerce & Labor","Bruce Chandler"
"70","2001-02","House Committee on Commerce & Labor","Larry Crouse"
"71","2001-02","House Committee on Commerce & Labor","Jane'a Holmquist"
"72","2001-02","House Committee on Commerce & Labor","Phyllis Kenney"
"73","2001-02","House Committee on Commerce & Labor","Toni Lysen"
"74","2001-02","House Committee on Criminal Justice & Corrections","Al O'Brien"
"75","2001-02","House Committee on Criminal Justice & Corrections","John Lovick"
"76","2001-02","House Committee on Criminal Justice & Corrections","Ida Ballasiotes"
"77","2001-02","House Committee on Criminal Justice & Corrections","John Ahern"
"78","2001-02","House Committee on Criminal Justice & Corrections","Ruth Kagi"
"79","2001-02","House Committee on Criminal Justice & Corrections","Dave Morell"
"80","2001-02","House Committee on Education","Dave Quall"
"81","2001-02","House Committee on Education","Kathy Haigh"
"82","2001-02","House Committee on Education","Gigi Talcott"
"83","2001-02","House Committee on Education","Glenn Anderson"
"84","2001-02","House Committee on Education","Don Cox"
"85","2001-02","House Committee on Education","Karen Keiser"
"86","2001-02","House Committee on Education","Joe McDermott"
"87","2001-02","House Committee on Education","Phil Rockefeller"
"88","2001-02","House Committee on Education","Sharon Tomiko Santos"
"89","2001-02","House Committee on Education","Dave Schmidt"
"90","2001-02","House Committee on Education","Dave Upthegrove"
"91","2001-02","House Committee on Finance","Jeff Gombosky"
"92","2001-02","House Committee on Finance","Jean Berkey"
"93","2001-02","House Committee on Finance","Jack Cairnes"
"94","2001-02","House Committee on Finance","Steve Conway"
"95","2001-02","House Committee on Finance","Jeff Morris"
"96","2001-02","House Committee on Finance","Toby Nixon"
"97","2001-02","House Committee on Finance","Ed Orcutt"
"98","2001-02","House Committee on Finance","Dan Roach"
"99","2001-02","House Committee on Finance","Sharon Tomiko Santos"
"100","2001-02","House Committee on Finance","Steve Van Luven"
"101","2001-02","House Committee on Finance","Velma Veloria"
"102","2001-02","House Committee on Financial Institutions & Insurance","Mike Cooper"
"103","2001-02","House Committee on Financial Institutions & Insurance","Jim McIntire"
"104","2001-02","House Committee on Financial Institutions & Insurance","Brad Benson"
"105","2001-02","House Committee on Financial Institutions & Insurance","Kelly Barlean"
"106","2001-02","House Committee on Financial Institutions & Insurance","Jack Cairnes"
"107","2001-02","House Committee on Financial Institutions & Insurance","Brian Hatfield"
"108","2001-02","House Committee on Financial Institutions & Insurance","Karen Keiser"
"109","2001-02","House Committee on Financial Institutions & Insurance","Tom Mielke"
"110","2001-02","House Committee on Financial Institutions & Insurance","Mark Miloscia"
"111","2001-02","House Committee on Financial Institutions & Insurance","Dan Roach"
"112","2001-02","House Committee on Financial Institutions & Insurance","Sharon Tomiko Santos"
"113","2001-02","House Committee on Financial Institutions & Insurance","Geoff Simpson"
"114","2001-02","House Committee on Health Care","Eileen Cody"
"115","2001-02","House Committee on Health Care","Shay Schual-Berke"
"116","2001-02","House Committee on Health Care","Tom Campbell"
"117","2001-02","House Committee on Health Care","Gary Alexander"
"118","2001-02","House Committee on Health Care","Ida Ballasiotes"
"119","2001-02","House Committee on Health Care","Brad Benson"
"120","2001-02","House Committee on Health Care","Steve Conway"
"121","2001-02","House Committee on Health Care","Jeannie Darneille"
"122","2001-02","House Committee on Health Care","Jeanne Edwards"
"123","2001-02","House Committee on Health Care","Laura Ruderman"
"124","2001-02","House Committee on Health Care","Mary Skinner"
"125","2001-02","House Committee on Higher Education","Phyllis Kenney"
"126","2001-02","House Committee on Higher Education","Bill Fromhold"
"127","2001-02","House Committee on Higher Education","Don Cox"
"128","2001-02","House Committee on Higher Education","Maralyn Chase"
"129","2001-02","House Committee on Higher Education","Jim Dunn"
"130","2001-02","House Committee on Higher Education","Jeff Gombosky"
"131","2001-02","House Committee on Higher Education","Fred Jarrett"
"132","2001-02","House Committee on Higher Education","Patricia Lantz"
"133","2001-02","House Committee on Higher Education","Mary Skinner"
"134","2001-02","House Committee on Judiciary","Patricia Lantz"
"135","2001-02","House Committee on Judiciary","Christopher Hurst"
"136","2001-02","House Committee on Judiciary","Mike Carrell"
"137","2001-02","House Committee on Judiciary","Marc Boldt"
"138","2001-02","House Committee on Judiciary","Mary Lou Dickerson"
"139","2001-02","House Committee on Judiciary","Luke Esser"
"140","2001-02","House Committee on Judiciary","Fred Jarrett"
"141","2001-02","House Committee on Judiciary","John Lovick"
"142","2001-02","House Committee on Judiciary","Toni Lysen"
"143","2001-02","House Committee on Juvenile Justice & Family Law","Mary Lou Dickerson"
"144","2001-02","House Committee on Juvenile Justice & Family Law","Jeannie Darneille"
"145","2001-02","House Committee on Juvenile Justice & Family Law","Jerome Delvin"
"146","2001-02","House Committee on Juvenile Justice & Family Law","Mike Armstrong"
"147","2001-02","House Committee on Juvenile Justice & Family Law","Mike Carrell"
"148","2001-02","House Committee on Juvenile Justice & Family Law","William ""Ike"" Eickmeyer"
"149","2001-02","House Committee on Juvenile Justice & Family Law","Kip Tokuda"
"150","2001-02","House Committee on Local Government & Housing","Hans Dunshee"
"151","2001-02","House Committee on Local Government & Housing","Jeanne Edwards"
"152","2001-02","House Committee on Local Government & Housing","Joyce Mulliken"
"153","2001-02","House Committee on Local Government & Housing","Jean Berkey"
"154","2001-02","House Committee on Local Government & Housing","Larry Crouse"
"155","2001-02","House Committee on Local Government & Housing","Richard DeBolt"
"156","2001-02","House Committee on Local Government & Housing","Jim Dunn"
"157","2001-02","House Committee on Local Government & Housing","Brian Hatfield"
"158","2001-02","House Committee on Local Government & Housing","Steve Kirby"
"159","2001-02","House Committee on Local Government & Housing","Tom Mielke"
"160","2001-02","House Committee on Local Government & Housing","Brian Sullivan"
"161","2001-02","House Committee on Natural Resources","Mark Doumit"
"162","2001-02","House Committee on Natural Resources","Mark Doumit"
"163","2001-02","House Committee on Natural Resources","Phil Rockefeller"
"164","2001-02","House Committee on Natural Resources","Bob Sump"
"165","2001-02","House Committee on Natural Resources","Jim Buck"
"166","2001-02","House Committee on Natural Resources","William ""Ike"" Eickmeyer"
"167","2001-02","House Committee on Natural Resources","Doug Ericksen"
"168","2001-02","House Committee on Natural Resources","Brock Jackley"
"169","2001-02","House Committee on Natural Resources","Joe McDermott"
"170","2001-02","House Committee on Natural Resources","Ed Orcutt"
"171","2001-02","House Committee on Natural Resources","Kirk Pearson"
"172","2001-02","House Committee on Natural Resources","Dave Upthegrove"
"173","2001-02","House Committee on Rules","Frank Chopp"
"174","2001-02","House Committee on Rules","Clyde Ballard"
"175","2001-02","House Committee on Rules","Jim Buck"
"176","2001-02","House Committee on Rules","Roger Bush"
"177","2001-02","House Committee on Rules","Richard DeBolt"
"178","2001-02","House Committee on Rules","Hans Dunshee"
"179","2001-02","House Committee on Rules","William ""Ike"" Eickmeyer"
"180","2001-02","House Committee on Rules","Bill Grant"
"181","2001-02","House Committee on Rules","Kathy Haigh"
"182","2001-02","House Committee on Rules","Shirley Hankins"
"183","2001-02","House Committee on Rules","Brian Hatfield"
"184","2001-02","House Committee on Rules","Christopher Hurst"
"185","2001-02","House Committee on Rules","Lynn Kessler"
"186","2001-02","House Committee on Rules","Steve Kirby"
"187","2001-02","House Committee on Rules","Barbara Lisk"
"188","2001-02","House Committee on Rules","Dave Mastin"
"189","2001-02","House Committee on Rules","Joyce Mulliken"
"190","2001-02","House Committee on Rules","Val Ogden"
"191","2001-02","House Committee on Rules","Erik Poulsen"
"192","2001-02","House Committee on Rules","Aaron Reardon"
"193","2001-02","House Committee on Rules","Sharon Tomiko Santos"
"194","2001-02","House Committee on Rules","Beverly Woods"
"195","2001-02","House Committee on Select Committee on Community Security","Christopher Hurst"
"196","2001-02","House Committee on Select Committee on Community Security","Geoff Simpson"
"197","2001-02","House Committee on Select Committee on Community Security","Barbara Lisk"
"198","2001-02","House Committee on Select Committee on Community Security","Ida Ballasiotes"
"199","2001-02","House Committee on Select Committee on Community Security","Kelly Barlean"
"200","2001-02","House Committee on Select Committee on Community Security","Brad Benson"
"201","2001-02","House Committee on Select Committee on Community Security","Jim Buck"
"202","2001-02","House Committee on Select Committee on Community Security","Tom Campbell"
"203","2001-02","House Committee on Select Committee on Community Security","Kathy Haigh"
"204","2001-02","House Committee on Select Committee on Community Security","Brock Jackley"
"205","2001-02","House Committee on Select Committee on Community Security","Lynn Kessler"
"206","2001-02","House Committee on Select Committee on Community Security","Jeff Morris"
"207","2001-02","House Committee on Select Committee on Community Security","Al O'Brien"
"208","2001-02","House Committee on Select Committee on Community Security","Dave Schmidt"
"209","2001-02","House Committee on Select Committee on Community Security","Shay Schual-Berke"
"210","2001-02","House Committee on State Government","Sandra Romero"
"211","2001-02","House Committee on State Government","Mark Miloscia"
"212","2001-02","House Committee on State Government","Cathy McMorris"
"213","2001-02","House Committee on State Government","Joe McDermott"
"214","2001-02","House Committee on State Government","Lynn Schindler"
"215","2001-02","House Committee on State Government","Dave Schmidt"
"216","2001-02","House Committee on State Government","Dave Upthegrove"
"217","2001-02","House Committee on Technology, Telecommunications & Energy","Jeff Morris"
"218","2001-02","House Committee on Technology, Telecommunications & Energy","Erik Poulsen"
"219","2001-02","House Committee on Technology, Telecommunications & Energy","Laura Ruderman"
"220","2001-02","House Committee on Technology, Telecommunications & Energy","Larry Crouse"
"221","2001-02","House Committee on Technology, Telecommunications & Energy","Glenn Anderson"
"222","2001-02","House Committee on Technology, Telecommunications & Energy","Jean Berkey"
"223","2001-02","House Committee on Technology, Telecommunications & Energy","Roger Bush"
"224","2001-02","House Committee on Technology, Telecommunications & Energy","Sarah Casada"
"225","2001-02","House Committee on Technology, Telecommunications & Energy","Richard DeBolt"
"226","2001-02","House Committee on Technology, Telecommunications & Energy","Jerome Delvin"
"227","2001-02","House Committee on Technology, Telecommunications & Energy","Luke Esser"
"228","2001-02","House Committee on Technology, Telecommunications & Energy","Sam Hunt"
"229","2001-02","House Committee on Technology, Telecommunications & Energy","Kelli Linville"
"230","2001-02","House Committee on Technology, Telecommunications & Energy","Toni Lysen"
"231","2001-02","House Committee on Technology, Telecommunications & Energy","Toby Nixon"
"232","2001-02","House Committee on Technology, Telecommunications & Energy","Cheryl Pflug"
"233","2001-02","House Committee on Technology, Telecommunications & Energy","Aaron Reardon"
"234","2001-02","House Committee on Technology, Telecommunications & Energy","Sandra Romero"
"235","2001-02","House Committee on Technology, Telecommunications & Energy","Brian Sullivan"
"236","2001-02","House Committee on Technology, Telecommunications & Energy","Alex Wood"
"237","2001-02","House Committee on Trade & Economic Development","Velma Veloria"
"238","2001-02","House Committee on Trade & Economic Development","William ""Ike"" Eickmeyer"
"239","2001-02","House Committee on Trade & Economic Development","Steve Van Luven"
"240","2001-02","House Committee on Trade & Economic Development","John Ahern"
"241","2001-02","House Committee on Trade & Economic Development","Maralyn Chase"
"242","2001-02","House Committee on Trade & Economic Development","Jim Dunn"
"243","2001-02","House Committee on Trade & Economic Development","Bill Fromhold"
"244","2001-02","House Committee on Trade & Economic Development","Jeff Gombosky"
