"","repId","firstYear","FirstName","LastName"
"1",5159,"2001-02","John","Ahern"
"2",2157,"2001-02","Gary","Alexander"
"3",5160,"2001-02","Glenn","Anderson"
"4",14208,"2019-20","Jan","Angel"
"5",10031,"2005-06","Sherry","Appleton"
"6",5161,"2001-02","Mike","Armstrong"
"7",15782,"2009-10","Katrina","Asay"
"8",8238,"2003-04","Barbara","Bailey"
"9",17,"2001-02","Clyde","Ballard"
"10",617,"2001-02","Ida","Ballasiotes"
"11",24075,"2015-16","Andrew","Barkis"
"12",3467,"2001-02","Kelly","Barlean"
"13",12069,"2007-08","Don","Barlow"
"14",15780,"2019-20","Michael","Baumgartner"
"15",16270,"2011-12","Jeff","Baxter"
"16",14083,"2009-10","Randi","Becker"
"17",2167,"2001-02","Brad","Benson"
"18",1583,"2001-02","Don","Benton"
"19",17227,"2013-14","Steve","Bergquist"
"20",6765,"2001-02","Jean","Berkey"
"21",15811,"2011-12","Andy","Billig"
"22",8317,"2003-04","Brian","Blake"
"23",29094,"2019-20","Matt","Boehnke"
"24",1584,"2001-02","Marc","Boldt"
"25",8159,"2003-04","Dale","Brandland"
"26",17289,"2013-14","John","Braun"
"27",27981,"2017-18","Marlo","Braun "
"28",618,"2001-02","Lisa","Brown"
"29",17759,"2013-14","Sharon","Brown"
"30",1585,"2001-02","Jim","Buck"
"31",4579,"2005-06","David","Buri"
"32",2158,"2001-02","Roger","Bush"
"33",15820,"2011-12","Vincent","Buys"
"34",1572,"2001-02","Jack","Cairnes"
"35",20760,"2015-16","Michelle","Caldier"
"36",29092,"2019-20","Lisa","Callan"
"37",619,"2001-02","Tom","Campbell"
"38",620,"2001-02","Don","Carlson"
"39",14325,"2009-10","Reuven","Carlyle"
"40",1586,"2001-02","Mike","Carrell"
"41",72,"2001-02","Sarah","Casada"
"42",29100,"2019-20","Kelly","Chambers"
"43",3469,"2001-02","Bruce","Chandler"
"44",75,"2001-02","Gary","Chandler"
"45",26176,"2017-18","Mike","Chapman"
"46",1407,"2019-20","Maralyn","Chase"
"47",1659,"2001-02","Frank","Chopp"
"48",18458,"2013-14","Leonard","Christian"
"49",1587,"2001-02","Jim","Clements"
"50",17294,"2013-14","Annette","Cleveland"
"51",8209,"2003-04","Judy","Clibborn"
"52",1543,"2001-02","Eileen","Cody"
"53",8237,"2003-04","Cary","Condotta"
"54",2145,"2001-02","Dow","Constantine"
"55",972,"2001-02","Steve","Conway"
"56",2150,"2001-02","Mike","Cooper"
"57",29097,"2019-20","Chris","Corry"
"58",1655,"2001-02","Jeralita ""Jeri""","Costa"
"59",3972,"2001-02","Don","Cox"
"60",1573,"2001-02","Larry","Crouse"
"61",10040,"2005-06","Richard","Curtis"
"62",15771,"2011-12","Cathy","Dahlquist"
"63",14209,"2009-10","Bruce","Dammeier"
"64",18146,"2013-14","Brian","Dansel"
"65",5156,"2001-02","Jeannie","Darneille"
"66",29087,"2019-20","Mona","Das"
"67",29104,"2019-20","Lauren","Davis"
"68",2143,"2001-02","Richard","DeBolt"
"69",516,"2001-02","Alex","Deccio"
"70",1574,"2001-02","Jerome","Delvin"
"71",20761,"2015-16","Tom","Dent"
"72",28022,"2017-18","Manka","Dhingra"
"73",1570,"2001-02","Mary Lou","Dickerson"
"74",26175,"2017-18","Beth","Doglio"
"75",26174,"2017-18","Laurie","Dolan"
"76",2174,"2001-02","Mark","Doumit"
"77",14256,"2009-10","John","Driscoll"
"78",29877,"2019-20","Davina","Duerr"
"79",29098,"2019-20","Jeremie","Dufault"
"80",2146,"2001-02","Jim","Dunn"
"81",630,"2001-02","Hans","Dunshee"
"82",21490,"2015-16","Mary","Dye"
"83",11997,"2007-08","Deborah","Eddy"
"84",11997,"2007-08","Deb","Eddy"
"85",3471,"2001-02","Carolyn","Edmonds"
"86",3470,"2001-02","Jeanne","Edwards"
"87",2742,"2001-02","William ""Ike""","Eickmeyer"
"88",633,"2001-02","Tracey","Eide"
"89",11403,"2019-20","Debra","Entenman"
"90",10032,"2005-06","Mark","Ericks"
"91",3473,"2001-02","Doug","Ericksen"
"92",27988,"2017-18","Carolyn","Eslick"
"93",3472,"2001-02","Luke","Esser"
"94",15098,"2009-10","Susan","Fagan"
"95",15779,"2019-20","Joe","Fain"
"96",1603,"2001-02","Darlene","Fairley"
"97",17307,"2013-14","Jessyn","Farrell"
"98",17241,"2013-14","Jake","Fey"
"99",635,"2001-02","Bill","Finkbeiner"
"100",14203,"2009-10","Fred","Finn"
"101",136,"2001-02","Ruth","Fisher"
"102",13198,"2009-10","Joe","Fitzgibbon"
"103",8412,"2003-04","Dennis","Flannigan"
"104",3474,"2017-18","Phil","Fortunato"
"105",23902,"2015-16","Noel","Frame"
"106",142,"2001-02","Rosa","Franklin"
"107",143,"2001-02","Karen","Fraser"
"108",17317,"2013-14","Roger","Freeman"
"109",15821,"2011-12","David","Frockt"
"110",5158,"2001-02","Bill","Fromhold"
"111",2153,"2001-02","Georgia","Gardner"
"112",29101,"2019-20","Chris","Gildon"
"113",29096,"2019-20","Keith","Goehner"
"114",1381,"2001-02","Jeff","Gombosky"
"115",11999,"2007-08","Roger","Goodman"
"116",15419,"2009-10","Randy","Gordon"
"117",29093,"2019-20","Jenny","Graham"
"118",157,"2001-02","Bill","Grant"
"119",14874,"2009-10","Laura","Grant"
"120",26169,"2017-18","Paul","Graves"
"121",10021,"2005-06","Tami","Green"
"122",18264,"2013-14","Mia","Gregerson"
"123",21043,"2015-16","Carol","Gregory"
"124",20752,"2015-16","Dan","Griffey"
"125",17216,"2013-14","Cyrus","Habib"
"126",3475,"2001-02","Kathy","Haigh"
"127",12081,"2007-08","Steve","Hailey"
"128",1599,"2001-02","Patricia","Hale"
"129",9996,"2005-06","Larry","Haler"
"130",167,"2001-02","Shirley","Hankins"
"131",16499,"2011-12","Drew","Hansen"
"132",171,"2001-02","James","Hargrove"
"133",15822,"2011-12","Mark","Hargrove"
"134",171,"2001-02","Jim","Hargrove"
"135",20740,"2015-16","Mark","Harmsworth"
"136",15778,"2011-12","Nick","Harper"
"137",15813,"2011-12","Paul","Harris"
"138",10030,"2005-06","Bob","Hasegawa"
"139",173,"2001-02","Brian","Hatfield"
"140",174,"2001-02","Mary Margaret","Haugen"
"141",2006,"2013-14","Brad","Hawkins"
"142",17219,"2013-14","Dave","Hayes"
"143",9550,"2007-08","Jaime","Herrera"
"144",5880,"2001-02","Mike","Hewitt"
"145",22559,"2015-16","Teri","Hickel"
"146",15781,"2011-12","Andy","Hill"
"147",8240,"2003-04","Bill","Hinkle"
"148",12072,"2007-08","Steve","Hobbs"
"149",188,"2001-02","Harold","Hochstatter"
"150",29099,"2019-20","Larry","Hoff"
"151",3430,"2001-02","Jane'a","Holmquist"
"152",3430,"2001-02","Janéa","Holmquist"
"153",3430,"2001-02","Janéa","Holmquist Newbry"
"154",17223,"2013-14","Jeff","Holy"
"155",1577,"2001-02","Jim","Honeyford"
"156",14276,"2009-10","Mike","Hope"
"157",198,"2001-02","Jim","Horn"
"158",8215,"2003-04","Zack","Hudgins"
"159",5155,"2001-02","Sam","Hunt"
