2001-02,2003-04,2005-06,2007-08,2009-10,2011-12,2013-14,2015-16,2017-18,2019-20
Agriculture & International Trade,Children & Family Services & Corrections,Agriculture & Rural Economic Development,Agriculture & Rural Economic Development,Agriculture & Rural Economic Development,Agriculture & Rural Economic Development,"Agriculture, Water & Rural Economic Development",Accountability & Reform,"Agriculture, Water, Natural Resources & Parks","Agriculture, Water, Natural Resources & Parks"
Economic Development & Telecommunications,Commerce & Trade,"Early Learning, K-12 & Higher Education",Consumer Protection & Housing,Early Learning & K-12 Education,"Agriculture, Water & Rural Economic Development",Commerce & Labor,"Agriculture, Water & Rural Economic Development","Agriculture, Water, Trade & Economic Development",Behavioral Health Subcommittee to Health & Long Term Care
Education,Economic Development,Financial Institutions & Insurance,Early Learning & K-12 Education,"Economic Development, Trade & Innovation",Early Learning & K-12 Education,Early Learning & K-12 Education,Commerce & Labor,"Commerce, Labor & Sports",Early Learning & K-12 Education
"Environment, Energy & Water",Education,"Financial Institutions, Housing & Consumer Protection","Economic Development, Trade & Management","Environment, Water & Energy","Economic Development, Trade & Innovation","Energy, Environment & Telecommunications",Early Learning & K-12 Education,Early Learning & K-12 Education,"Environment, Energy & Technology"
Health & Long-Term Care,"Financial Services, Insurance & Housing",Government Operations & Elections,Financial Institutions & Insurance,"Financial Institutions, Housing & Insurance","Energy, Natural Resources & Marine Waters","Financial Institutions, Housing & Insurance","Energy, Environment & Telecommunications",Economic Development & International Trade,"Financial Institutions, Economic Development & Trade"
Higher Education,Government Operations & Elections,Health & Long-Term Care,Government Operations & Elections,Government Operations & Elections,Environment,Governmental Operations,Financial Institutions & Insurance,"Energy, Environment & Technology",Health & Long Term Care
Human Services & Corrections,Health & Long-Term Care,Human Services & Corrections,Health & Long-Term Care,Health & Long-Term Care,"Environment, Water & Energy",Health Care,Government Operations & Security,"Energy, Environment & Telecommunications",Higher Education & Workforce Development
Judiciary,Higher Education,International Trade & Economic Development,Higher Education,Higher Education & Workforce Development,"Financial Institutions, Housing & Insurance",Higher Education,Health Care,Financial Institutions & Insurance,Housing Stability & Affordability
"Labor, Commerce & Financial Institutions",Highways & Transportation,Judiciary,Human Services & Corrections,Human Services & Corrections,"Government Operations, Tribal Relations & Elections",Human Services & Corrections,Higher Education,Health & Long Term Care,"Human Services, Reentry & Rehabilitation"
"Natural Resources, Parks & Shorelines",Judiciary,"Labor, Commerce, Research & Development",Judiciary,Judiciary,Health & Long-Term Care,Law & Justice,"Human Services, Mental Health & Housing",Health Care,Labor & Commerce
Rules,Land Use & Planning,"Natural Resources, Ocean & Recreation","Labor, Commerce, Research & Development","Labor, Commerce & Consumer Protection",Higher Education & Workforce Development,Natural Resources & Parks,Law & Justice,Higher Education,Law & Justice
State & Local Government,"Natural Resources, Energy & Water",Rules,"Natural Resources, Ocean & Recreation","Natural Resources, Ocean & Recreation",Human Services & Corrections,Rules,Natural Resources & Parks,Higher Education & Workforce Development,Local Government
Transportation,"Parks, Fish & Wildlife",Transportation,Rules,Rules,Judiciary,Trade & Economic Development,Rules,Human Services & Corrections,Rules
Ways & Means,Rules,"Water, Energy & Environment",Transportation,Transportation,"Labor, Commerce & Consumer Protection",Transportation,Trade & Economic Development,"Human Services, Mental Health & Housing","State Government, Tribal Relations & Elections"
,Technology & Communications,Ways & Means,"Water, Energy & Telecommunications",Ways & Means,Natural Resources & Marine Waters,Ways & Means,Transportation,Labor & Commerce,Transportation
,Ways & Means,,Ways & Means,,Rules,,Ways & Means,Law & Justice,Ways & Means
,,,,,Transportation,,,Local Government,
,,,,,Ways & Means,,,Natural Resources & Parks,
,,,,,,,,Rules,
,,,,,,,,State Government,
,,,,,,,,"State Government, Tribal Relations & Elections",
,,,,,,,,Transportation,
,,,,,,,,Ways & Means,
