"","Biennium","BillId","BillNumber"
"1","2015-16","HB 1000","1000"
"2","2015-16","SHB 1000","1000"
"3","2015-16","HB 1001","1001"
"4","2015-16","HB 1002","1002"
"5","2015-16","SHB 1002","1002"
"6","2015-16","EHB 1003","1003"
"7","2015-16","HB 1004","1004"
"8","2015-16","HB 1005","1005"
"9","2015-16","HB 1006","1006"
"10","2015-16","SHB 1006","1006"
"11","2015-16","HB 1007","1007"
"12","2015-16","HB 1008","1008"
"13","2015-16","SHB 1008","1008"
"14","2015-16","HB 1009","1009"
"15","2015-16","SHB 1009","1009"
"16","2015-16","2SHB 1009","1009"
"17","2015-16","HB 1010","1010"
"18","2015-16","SHB 1010","1010"
"19","2015-16","HB 1011","1011"
"20","2015-16","HB 1012","1012"
"21","2015-16","HB 1013","1013"
"22","2015-16","HB 1014","1014"
"23","2015-16","HB 1015","1015"
"24","2015-16","HB 1016","1016"
"25","2015-16","HB 1017","1017"
"26","2015-16","HB 1018","1018"
"27","2015-16","HB 1019","1019"
"28","2015-16","HB 1020","1020"
"29","2015-16","HB 1021","1021"
"30","2015-16","SHB 1021","1021"
"31","2015-16","HB 1022","1022"
"32","2015-16","HB 1023","1023"
"33","2015-16","HB 1024","1024"
"34","2015-16","HB 1025","1025"
"35","2015-16","HB 1026","1026"
"36","2015-16","HB 1027","1027"
"37","2015-16","HB 1028","1028"
"38","2015-16","HB 1029","1029"
"39","2015-16","HB 1030","1030"
"40","2015-16","SHB 1030","1030"
"41","2015-16","HB 1031","1031"
"42","2015-16","SHB 1031","1031"
"43","2015-16","HB 1032","1032"
"44","2015-16","HB 1033","1033"
"45","2015-16","HB 1034","1034"
"46","2015-16","HB 1035","1035"
"47","2015-16","HB 1036","1036"
"48","2015-16","HB 1037","1037"
"49","2015-16","SHB 1037","1037"
"50","2015-16","HB 1038","1038"
"51","2015-16","SHB 1038","1038"
"52","2015-16","HB 1039","1039"
"53","2015-16","SHB 1039","1039"
"54","2015-16","HB 1040","1040"
"55","2015-16","HB 1041","1041"
"56","2015-16","HB 1042","1042"
"57","2015-16","HB 1043","1043"
"58","2015-16","SHB 1043","1043"
"59","2015-16","HB 1044","1044"
"60","2015-16","HB 1045","1045"
"61","2015-16","SHB 1045","1045"
"62","2015-16","HB 1046","1046"
"63","2015-16","HB 1047","1047"
"64","2015-16","HB 1048","1048"
"65","2015-16","SHB 1048","1048"
"66","2015-16","HB 1049","1049"
"67","2015-16","HB 1050","1050"
"68","2015-16","HB 1051","1051"
"69","2015-16","HB 1052","1052"
"70","2015-16","SHB 1052","1052"
"71","2015-16","HB 1053","1053"
"72","2015-16","SHB 1053","1053"
"73","2015-16","HB 1054","1054"
"74","2015-16","SHB 1054","1054"
"75","2015-16","HB 1055","1055"
"76","2015-16","HB 1056","1056"
"77","2015-16","HB 1057","1057"
"78","2015-16","HB 1058","1058"
"79","2015-16","HB 1059","1059"
"80","2015-16","HB 1060","1060"
"81","2015-16","ESHB 1060","1060"
"82","2015-16","HB 1061","1061"
"83","2015-16","HB 1062","1062"
"84","2015-16","HB 1063","1063"
"85","2015-16","SHB 1063","1063"
"86","2015-16","HB 1064","1064"
"87","2015-16","SHB 1064","1064"
"88","2015-16","HB 1065","1065"
"89","2015-16","HB 1066","1066"
"90","2015-16","HB 1067","1067"
"91","2015-16","ESHB 1067","1067"
"92","2015-16","HB 1068","1068"
"93","2015-16","SHB 1068","1068"
"94","2015-16","HB 1069","1069"
"95","2015-16","SHB 1069","1069"
"96","2015-16","HB 1070","1070"
"97","2015-16","SHB 1070","1070"
"98","2015-16","HB 1071","1071"
"99","2015-16","HB 1072","1072"
"100","2015-16","HB 1073","1073"
"101","2015-16","HB 1074","1074"
"102","2015-16","HB 1075","1075"
"103","2015-16","HB 1076","1076"
"104","2015-16","SHB 1076","1076"
"105","2015-16","HB 1077","1077"
"106","2015-16","HB 1078","1078"
"107","2015-16","ESHB 1078","1078"
"108","2015-16","HB 1079","1079"
"109","2015-16","SHB 1079","1079"
"110","2015-16","HB 1080","1080"
"111","2015-16","HB 1081","1081"
"112","2015-16","HB 1082","1082"
"113","2015-16","HB 1083","1083"
"114","2015-16","HB 1084","1084"
"115","2015-16","HB 1085","1085"
"116","2015-16","SHB 1085","1085"
"117","2015-16","HB 1086","1086"
"118","2015-16","SHB 1086","1086"
"119","2015-16","EHB 1087","1087"
"120","2015-16","HB 1088","1088"
"121","2015-16","SHB 1088","1088"
"122","2015-16","HB 1089","1089"
"123","2015-16","SHB 1089","1089"
"124","2015-16","HB 1090","1090"
"125","2015-16","EHB 1091","1091"
"126","2015-16","HB 1092","1092"
"127","2015-16","SHB 1092","1092"
"128","2015-16","HB 1093","1093"
"129","2015-16","ESHB 1093","1093"
"130","2015-16","HB 1094","1094"
"131","2015-16","2ESHB 1094","1094"
"132","2015-16","HB 1095","1095"
"133","2015-16","SHB 1095","1095"
"134","2015-16","E2SHB 1095","1095"
"135","2015-16","HB 1096","1096"
"136","2015-16","HB 1097","1097"
"137","2015-16","HB 1098","1098"
"138","2015-16","HB 1099","1099"
"139","2015-16","HB 1100","1100"
"140","2015-16","2ESHB 1100","1100"
"141","2015-16","HB 1101","1101"
"142","2015-16","HB 1102","1102"
"143","2015-16","HB 1103","1103"
"144","2015-16","ESHB 1103","1103"
"145","2015-16","HB 1104","1104"
"146","2015-16","HB 1105","1105"
"147","2015-16","SHB 1105","1105"
"148","2015-16","HB 1106","1106"
"149","2015-16","ESHB 1106","1106"
"150","2015-16","2SHB 1106","1106"
"151","2015-16","HB 1107","1107"
"152","2015-16","SHB 1107","1107"
"153","2015-16","2SHB 1107","1107"
"154","2015-16","HB 1108","1108"
"155","2015-16","HB 1109","1109"
"156","2015-16","SHB 1109","1109"
"157","2015-16","HB 1110","1110"
"158","2015-16","HB 1111","1111"
"159","2015-16","HB 1112","1112"
"160","2015-16","HB 1113","1113"
"161","2015-16","HB 1114","1114"
"162","2015-16","2EHB 1115","1115"
"163","2015-16","HB 1116","1116"
"164","2015-16","HB 1117","1117"
"165","2015-16","HB 1118","1118"
"166","2015-16","SHB 1118","1118"
"167","2015-16","2SHB 1118","1118"
"168","2015-16","HB 1119","1119"
"169","2015-16","HB 1120","1120"
"170","2015-16","SHB 1120","1120"
"171","2015-16","HB 1121","1121"
"172","2015-16","SHB 1121","1121"
"173","2015-16","HB 1122","1122"
"174","2015-16","EHB 1123","1123"
"175","2015-16","HB 1124","1124"
"176","2015-16","HB 1125","1125"
"177","2015-16","HB 1126","1126"
"178","2015-16","ESHB 1126","1126"
"179","2015-16","HB 1127","1127"
"180","2015-16","SHB 1127","1127"
"181","2015-16","HB 1128","1128"
"182","2015-16","HB 1129","1129"
"183","2015-16","HB 1130","1130"
"184","2015-16","HB 1131","1131"
"185","2015-16","SHB 1131","1131"
"186","2015-16","HB 1132","1132"
"187","2015-16","SHB 1132","1132"
