"","BillId","BillNumber","Biennium","LegalTitle","IntroducedDate","Sponsor","PrimeSponsorID","LongDescription","billUrl"
"1","HB 1000","1000","2017-18","AN ACT Relating to the use of deadly force by law enforcement and corrections officers;","2017-01-09T00:00:00","(Doglio)","26175","Concerning the use of deadly force by law enforcement and corrections officers.","http://app.leg.wa.gov/billsummary?BillNumber=1000&Year=2017&Initiative=false"
"2","HB 1001","1001","2017-18","AN ACT Relating to utility easements on state-owned aquatic lands;","2017-01-09T00:00:00","(Morris)","2144","Concerning utility easements on state-owned aquatic lands.","http://app.leg.wa.gov/billsummary?BillNumber=1001&Year=2017&Initiative=false"
"3","HB 1002","1002","2017-18","AN ACT Relating to restricting public funds from being used for elective abortions;","2017-01-09T00:00:00","(Taylor)","15006","Concerning public funds being used for elective abortions.","http://app.leg.wa.gov/billsummary?BillNumber=1002&Year=2017&Initiative=false"
"4","HB 1003","1003","2017-18","AN ACT Relating to requiring parental notification for abortion;","2017-01-09T00:00:00","(Shea)","14202","Establishing parental notification requirements for abortion.","http://app.leg.wa.gov/billsummary?BillNumber=1003&Year=2017&Initiative=false"
"5","HB 1004","1004","2017-18","AN ACT Relating to protecting the constitutionally guaranteed right to the lawful possession of firearms during a state of emergency;","2017-01-09T00:00:00","(Shea)","14202","Protecting the constitutionally guaranteed right to the lawful possession of firearms during a state of emergency.","http://app.leg.wa.gov/billsummary?BillNumber=1004&Year=2017&Initiative=false"
"6","HB 1005","1005","2017-18","AN ACT Relating to creating accountability in agency rule-making authority;","2017-01-09T00:00:00","(Taylor)","15006","Creating accountability in agency rule-making authority.","http://app.leg.wa.gov/billsummary?BillNumber=1005&Year=2017&Initiative=false"
"7","HB 1006","1006","2017-18","AN ACT Relating to protecting the right to work;","2017-01-09T00:00:00","(Shea)","14202","Protecting the right to work.","http://app.leg.wa.gov/billsummary?BillNumber=1006&Year=2017&Initiative=false"
"8","HB 1007","1007","2017-18","AN ACT Relating to accommodating the civil rights of religious objectors to mandatory payments to labor organizations;","2017-01-09T00:00:00","(Shea)","14202","Accommodating the civil rights of religious objectors to mandatory payments to labor organizations.","http://app.leg.wa.gov/billsummary?BillNumber=1007&Year=2017&Initiative=false"
"9","HB 1008","1008","2017-18","AN ACT Relating to the acquisition of land by state natural resources agencies;","2017-01-09T00:00:00","(Shea)","14202","Concerning the acquisition of land by state natural resources agencies.","http://app.leg.wa.gov/billsummary?BillNumber=1008&Year=2017&Initiative=false"
"10","HB 1009","1009","2017-18","AN ACT Relating to clarifying that the authority to mitigate environmental impacts under the state environmental policy act applies only to significant adverse environmental impacts;","2017-01-09T00:00:00","(Shea)","14202","Clarifying that the authority to mitigate environmental impacts under the state environmental policy act applies only to significant adverse environmental impacts.","http://app.leg.wa.gov/billsummary?BillNumber=1009&Year=2017&Initiative=false"
