"","Biennium","BillId","BillNumber"
"1","2017-18","HB 1000","1000"
"2","2017-18","HB 1001","1001"
"3","2017-18","HB 1002","1002"
"4","2017-18","HB 1003","1003"
"5","2017-18","HB 1004","1004"
"6","2017-18","HB 1005","1005"
"7","2017-18","HB 1006","1006"
"8","2017-18","HB 1007","1007"
"9","2017-18","HB 1008","1008"
"10","2017-18","HB 1009","1009"
"11","2017-18","HB 1010","1010"
"12","2017-18","SHB 1010","1010"
"13","2017-18","HB 1011","1011"
"14","2017-18","HB 1012","1012"
"15","2017-18","HB 1013","1013"
"16","2017-18","HB 1014","1014"
"17","2017-18","HB 1015","1015"
"18","2017-18","HB 1016","1016"
"19","2017-18","HB 1017","1017"
"20","2017-18","ESHB 1017","1017"
"21","2017-18","HB 1018","1018"
"22","2017-18","HB 1019","1019"
"23","2017-18","SHB 1019","1019"
"24","2017-18","HB 1020","1020"
"25","2017-18","HB 1021","1021"
"26","2017-18","HB 1022","1022"
"27","2017-18","SHB 1022","1022"
"28","2017-18","HB 1023","1023"
"29","2017-18","HB 1024","1024"
"30","2017-18","HB 1025","1025"
"31","2017-18","HB 1026","1026"
"32","2017-18","HB 1027","1027"
"33","2017-18","SHB 1027","1027"
"34","2017-18","HB 1028","1028"
"35","2017-18","HB 1029","1029"
"36","2017-18","HB 1030","1030"
"37","2017-18","EHB 1031","1031"
"38","2017-18","EHB 1032","1032"
"39","2017-18","HB 1033","1033"
"40","2017-18","HB 1034","1034"
"41","2017-18","HB 1035","1035"
"42","2017-18","HB 1036","1036"
"43","2017-18","SHB 1036","1036"
"44","2017-18","HB 1037","1037"
"45","2017-18","SHB 1037","1037"
"46","2017-18","HB 1038","1038"
"47","2017-18","SHB 1038","1038"
"48","2017-18","HB 1039","1039"
"49","2017-18","SHB 1039","1039"
"50","2017-18","HB 1040","1040"
"51","2017-18","HB 1041","1041"
"52","2017-18","HB 1042","1042"
"53","2017-18","HB 1043","1043"
"54","2017-18","SHB 1043","1043"
"55","2017-18","HB 1044","1044"
"56","2017-18","HB 1045","1045"
"57","2017-18","SHB 1045","1045"
"58","2017-18","HB 1046","1046"
"59","2017-18","ESHB 1046","1046"
"60","2017-18","HB 1047","1047"
"61","2017-18","ESHB 1047","1047"
"62","2017-18","HB 1048","1048"
"63","2017-18","SHB 1048","1048"
"64","2017-18","HB 1049","1049"
"65","2017-18","HB 1050","1050"
"66","2017-18","HB 1051","1051"
"67","2017-18","HB 1052","1052"
"68","2017-18","HB 1053","1053"
"69","2017-18","HB 1054","1054"
"70","2017-18","SHB 1054","1054"
"71","2017-18","HB 1055","1055"
"72","2017-18","SHB 1055","1055"
"73","2017-18","HB 1056","1056"
"74","2017-18","HB 1057","1057"
"75","2017-18","SHB 1057","1057"
"76","2017-18","HB 1058","1058"
"77","2017-18","HB 1059","1059"
"78","2017-18","SHB 1059","1059"
"79","2017-18","HB 1060","1060"
"80","2017-18","SHB 1060","1060"
"81","2017-18","HB 1061","1061"
"82","2017-18","HB 1062","1062"
"83","2017-18","HB 1063","1063"
"84","2017-18","HB 1064","1064"
"85","2017-18","HB 1065","1065"
"86","2017-18","SHB 1065","1065"
"87","2017-18","HB 1066","1066"
"88","2017-18","HB 1067","1067"
"89","2017-18","SHB 1067","1067"
"90","2017-18","HB 1068","1068"
"91","2017-18","HB 1069","1069"
"92","2017-18","HB 1070","1070"
"93","2017-18","SHB 1070","1070"
"94","2017-18","HB 1071","1071"
"95","2017-18","HB 1072","1072"
"96","2017-18","HB 1073","1073"
"97","2017-18","HB 1074","1074"
"98","2017-18","HB 1075","1075"
"99","2017-18","ESHB 1075","1075"
