"","CommitteeId","Biennium","Acronym","Agency","Name","LongName"
"1","N0","2017-18","AGNR","House","Agriculture & Natural Resources","House Committee on Agriculture & Natural Resources"
"2","N1","2017-18","APP","House","Appropriations","House Committee on Appropriations"
"3","N2","2017-18","BFS","House","Business & Financial Services","House Committee on Business & Financial Services"
"4","N3","2017-18","CB","House","Capital Budget","House Committee on Capital Budget"
"5","N4","2017-18","COG","House","Commerce & Gaming","House Committee on Commerce & Gaming"
"6","N5","2017-18","CDHT","House","Community Development, Housing & Tribal Affairs","House Committee on Community Development, Housing & Tribal Affairs"
"7","N6","2017-18","ELHS","House","Early Learning & Human Services","House Committee on Early Learning & Human Services"
"8","N7","2017-18","ED","House","Education","House Committee on Education"
"9","N8","2017-18","ENVI","House","Environment","House Committee on Environment"
"10","N9","2017-18","FIN","House","Finance","House Committee on Finance"
"11","N10","2017-18","HCW","House","Health Care & Wellness","House Committee on Health Care & Wellness"
"12","N11","2017-18","HE","House","Higher Education","House Committee on Higher Education"
"13","N12","2017-18","JUDI","House","Judiciary","House Committee on Judiciary"
"14","N13","2017-18","LAWS","House","Labor & Workplace Standards","House Committee on Labor & Workplace Standards"
"15","N14","2017-18","LG","House","Local Government","House Committee on Local Government"
"16","N15","2017-18","PS","House","Public Safety","House Committee on Public Safety"
"17","N16","2017-18","RUL","House","Rules","House Committee on Rules"
"18","N17","2017-18","SEIT","House","State Government, Elections & Information Technology","House Committee on State Government, Elections & Information Technology"
"19","N18","2017-18","TED","House","Technology & Economic Development","House Committee on Technology & Economic Development"
"20","N19","2017-18","TR","House","Transportation","House Committee on Transportation"
"21","N20","2017-18","AWNP","Senate","Agriculture, Water, Natural Resources & Parks","Senate Committee on Agriculture, Water, Natural Resources & Parks"
"22","N21","2017-18","AWTE","Senate","Agriculture, Water, Trade & Economic Development","Senate Committee on Agriculture, Water, Trade & Economic Development"
"23","N22","2017-18","CLS","Senate","Commerce, Labor & Sports","Senate Committee on Commerce, Labor & Sports"
"24","N23","2017-18","EDU","Senate","Early Learning & K-12 Education","Senate Committee on Early Learning & K-12 Education"
"25","N24","2017-18","EDIT","Senate","Economic Development & International Trade","Senate Committee on Economic Development & International Trade"
"26","N25","2017-18","EENT","Senate","Energy, Environment & Technology","Senate Committee on Energy, Environment & Technology"
"27","N26","2017-18","EET","Senate","Energy, Environment & Telecommunications","Senate Committee on Energy, Environment & Telecommunications"
"28","N27","2017-18","FI","Senate","Financial Institutions & Insurance","Senate Committee on Financial Institutions & Insurance"
"29","N28","2017-18","HLTC","Senate","Health & Long Term Care","Senate Committee on Health & Long Term Care"
"30","N29","2017-18","HLTH","Senate","Health Care","Senate Committee on Health Care"
"31","N30","2017-18","HIE","Senate","Higher Education","Senate Committee on Higher Education"
"32","N31","2017-18","HEWD","Senate","Higher Education & Workforce Development","Senate Committee on Higher Education & Workforce Development"
"33","N32","2017-18","HSC","Senate","Human Services & Corrections","Senate Committee on Human Services & Corrections"
"34","N33","2017-18","HSMH","Senate","Human Services, Mental Health & Housing","Senate Committee on Human Services, Mental Health & Housing"
"35","N34","2017-18","LBRC","Senate","Labor & Commerce","Senate Committee on Labor & Commerce"
"36","N35","2017-18","LAW","Senate","Law & Justice","Senate Committee on Law & Justice"
"37","N36","2017-18","LGOV","Senate","Local Government","Senate Committee on Local Government"
"38","N37","2017-18","NRP","Senate","Natural Resources & Parks","Senate Committee on Natural Resources & Parks"
"39","N38","2017-18","RULE","Senate","Rules","Senate Committee on Rules"
"40","N39","2017-18","SGOV","Senate","State Government","Senate Committee on State Government"
"41","N40","2017-18","SGTE","Senate","State Government, Tribal Relations & Elections","Senate Committee on State Government, Tribal Relations & Elections"
"42","N41","2017-18","TRAN","Senate","Transportation","Senate Committee on Transportation"
"43","N42","2017-18","WM","Senate","Ways & Means","Senate Committee on Ways & Means"
