"","Id","repId","cong","FirstName","LastName","type","District","Party","Biennium"
"1",1,14208,65,"Jan","Angel","sen","26","R","2017-18"
"2",2,10031,65,"Sherry","Appleton","rep","23","D","2017-18"
"3",3,8238,65,"Barbara","Bailey","sen","10","R","2017-18"
"4",4,24075,65,"Andrew","Barkis","rep","2","R","2017-18"
"5",5,15780,65,"Michael","Baumgartner","sen","6","R","2017-18"
"6",6,14083,65,"Randi","Becker","sen","2","R","2017-18"
"7",7,17227,65,"Steve","Bergquist","rep","11","D","2017-18"
"8",8,15811,65,"Andy","Billig","sen","3","D","2017-18"
"9",9,8317,65,"Brian","Blake","rep","19","D","2017-18"
"10",10,17289,65,"John","Braun","sen","20","R","2017-18"
"11",11,27981,65,"Marlo","Braun ","sen","20","R","2017-18"
"12",12,17759,65,"Sharon","Brown","sen","8","R","2017-18"
"13",13,15820,65,"Vincent","Buys","rep","42","R","2017-18"
"14",14,20760,65,"Michelle","Caldier","rep","26","R","2017-18"
"15",15,14325,65,"Reuven","Carlyle","sen","36","D","2017-18"
"16",16,3469,65,"Bruce","Chandler","rep","15","R","2017-18"
"17",17,26176,65,"Mike","Chapman","rep","24","D","2017-18"
"18",18,1407,65,"Maralyn","Chase","sen","32","D","2017-18"
"19",19,1659,65,"Frank","Chopp","rep","43","D","2017-18"
"20",20,17294,65,"Annette","Cleveland","sen","49","D","2017-18"
"21",21,8209,65,"Judy","Clibborn","rep","41","D","2017-18"
"22",22,1543,65,"Eileen","Cody","rep","34","D","2017-18"
"23",23,8237,65,"Cary","Condotta","rep","12","R","2017-18"
"24",24,972,65,"Steve","Conway","sen","29","D","2017-18"
"25",25,18146,65,"Brian","Dansel","sen","7","R","2017-18"
"26",26,5156,65,"Jeannie","Darneille","sen","27","D","2017-18"
"27",27,2143,65,"Richard","DeBolt","rep","20","R","2017-18"
"28",28,20761,65,"Tom","Dent","rep","13","R","2017-18"
"29",29,28022,65,"Manka","Dhingra","sen","45","D","2017-18"
"30",30,26175,65,"Beth","Doglio","rep","22","D","2017-18"
"31",31,26174,65,"Laurie","Dolan","rep","22","D","2017-18"
"32",32,21490,65,"Mary","Dye","rep","9","R","2017-18"
"33",33,3473,65,"Doug","Ericksen","sen","42","R","2017-18"
"34",34,27988,65,"Carolyn","Eslick","rep","39","R","2017-18"
"35",35,15779,65,"Joe","Fain","sen","47","R","2017-18"
"36",36,17307,65,"Jessyn","Farrell","rep","46","D","2017-18"
"37",37,17241,65,"Jake","Fey","rep","27","D","2017-18"
"38",38,13198,65,"Joe","Fitzgibbon","rep","34","D","2017-18"
"39",39,3474,65,"Phil","Fortunato","sen","31","R","2017-18"
"40",40,23902,65,"Noel","Frame","rep","36","D","2017-18"
"41",41,15821,65,"David","Frockt","sen","46","D","2017-18"
"42",42,11999,65,"Roger","Goodman","rep","45","D","2017-18"
"43",43,26169,65,"Paul","Graves","rep","5","R","2017-18"
"44",44,18264,65,"Mia","Gregerson","rep","33","D","2017-18"
"45",45,20752,65,"Dan","Griffey","rep","35","R","2017-18"
"46",46,9996,65,"Larry","Haler","rep","8","R","2017-18"
"47",47,16499,65,"Drew","Hansen","rep","23","D","2017-18"
"48",48,15822,65,"Mark","Hargrove","rep","47","R","2017-18"
"49",49,20740,65,"Mark","Harmsworth","rep","44","R","2017-18"
"50",50,15813,65,"Paul","Harris","rep","17","R","2017-18"
"51",51,10030,65,"Bob","Hasegawa","sen","11","D","2017-18"
"52",52,2006,65,"Brad","Hawkins","sen","12","R","2017-18"
"53",53,17219,65,"Dave","Hayes","rep","10","R","2017-18"
"54",54,12072,65,"Steve","Hobbs","sen","44","D","2017-18"
"55",55,17223,65,"Jeff","Holy","rep","6","R","2017-18"
"56",56,1577,65,"Jim","Honeyford","sen","15","R","2017-18"
"57",57,8215,65,"Zack","Hudgins","rep","11","D","2017-18"
"58",58,5155,65,"Sam","Hunt","sen","22","D","2017-18"
"59",59,27522,65,"Morgan","Irwin","rep","31","R","2017-18"
"60",60,26172,65,"Bill","Jenkin","rep","16","R","2017-18"
"61",61,15817,65,"Laurie","Jinkins","rep","27","D","2017-18"
"62",62,14211,65,"Norm","Johnson","rep","14","R","2017-18"
"63",63,3487,65,"Ruth","Kagi","rep","32","D","2017-18"
"64",64,1950,65,"Karen","Keiser","sen","33","D","2017-18"
"65",65,20753,65,"Christine","Kilduff","rep","28","D","2017-18"
"66",66,13199,65,"Curtis","King","sen","14","R","2017-18"
"67",67,5154,65,"Steve","Kirby","rep","29","D","2017-18"
"68",68,14207,65,"Brad","Klippert","rep","8","R","2017-18"
"69",69,26168,65,"Shelley","Kloba","rep","1","D","2017-18"
"70",70,1649,65,"John","Koster","rep","39","R","2017-18"
"71",71,26173,65,"Vicki","Kraft","rep","17","R","2017-18"
"72",72,10041,65,"Joel","Kretz","rep","7","R","2017-18"
"73",73,8235,65,"Dan","Kristiansen","rep","39","R","2017-18"
"74",74,21520,65,"Patty","Kuderer","sen","48","D","2017-18"
"75",75,13546,65,"Marko","Liias","sen","21","D","2017-18"
"76",76,3476,65,"John","Lovick","rep","44","D","2017-18"
"77",77,15818,65,"Kristine","Lytton","rep","40","D","2017-18"
"78",78,17221,65,"Drew","MacEwen","rep","35","R","2017-18"
"79",79,26178,65,"Nicole","Macri","rep","43","D","2017-18"
"80",80,17213,65,"Matt","Manweller","rep","13","R","2017-18"
"81",81,14115,65,"Jacquelin","Maycumber","rep","7","R","2017-18"
"82",82,20754,65,"Joan","McBride","rep","48","D","2017-18"
"83",83,20741,65,"Bob","McCaslin","rep","4","R","2017-18"
"84",84,8211,65,"John","McCoy","sen","38","D","2017-18"
"85",85,1887,65,"Joyce","McDonald","rep","25","R","2017-18"
"86",86,3478,65,"Mark","Miloscia","sen","30","R","2017-18"
"87",87,2144,65,"Jeff","Morris","rep","40","D","2017-18"
"88",88,20759,65,"Gina","Mosbrucker","rep","14","R","2017-18"
"89",89,17226,65,"Mark","Mullet","sen","5","D","2017-18"
"90",90,18038,65,"Dick","Muri","rep","28","R","2017-18"
"91",91,15097,65,"Terry","Nealey","rep","16","R","2017-18"
"92",92,13161,65,"Sharon","Nelson","sen","34","D","2017-18"
"93",93,17217,65,"Steve","O'Ban","sen","28","R","2017-18"
"94",94,7635,65,"Ed","Orcutt","rep","20","R","2017-18"
"95",95,9207,65,"Timm","Ormsby","rep","3","D","2017-18"
