biennium,committee,name,isChair,isVice,
2001-02,House Committee on Agriculture & Ecology,Kelli Linville,1,,
2001-02,House Committee on Agriculture & Ecology,Sam Hunt,,,
2001-02,House Committee on Agriculture & Ecology,Mark Schoesler,,,
2001-02,House Committee on Agriculture & Ecology,Bruce Chandler,1,,
2001-02,House Committee on Agriculture & Ecology,Mike Cooper,,0,
2001-02,House Committee on Agriculture & Ecology,Jerome Delvin,,,
2001-02,House Committee on Agriculture & Ecology,Hans Dunshee,,,
2001-02,House Committee on Agriculture & Ecology,Bill Grant,,,
2001-02,House Committee on Agriculture & Ecology,Jane'a Holmquist,,,
2001-02,House Committee on Agriculture & Ecology,Steve Kirby,,,
2001-02,House Committee on Agriculture & Ecology,Dave Quall,,,
2001-02,House Committee on Agriculture & Ecology,Dan Roach,,,
2001-02,House Committee on Agriculture & Ecology,Bob Sump,,,
2001-02,House Committee on Appropriations,Helen Sommers,1,,
2001-02,House Committee on Appropriations,Mark Doumit,,1,
2001-02,House Committee on Appropriations,Mark Doumit,,1,
2001-02,House Committee on Appropriations,Bill Fromhold,,,
2001-02,House Committee on Appropriations,Barry Sehlin,1,,
2001-02,House Committee on Appropriations,Gary Alexander,,,
2001-02,House Committee on Appropriations,Marc Boldt,,,
2001-02,House Committee on Appropriations,Jim Buck,,,
2001-02,House Committee on Appropriations,Jim Clements,,,
2001-02,House Committee on Appropriations,Eileen Cody,,,
2001-02,House Committee on Appropriations,Don Cox,,,
2001-02,House Committee on Appropriations,Hans Dunshee,,,
2001-02,House Committee on Appropriations,Bill Grant,,,
2001-02,House Committee on Appropriations,Ruth Kagi,,,
2001-02,House Committee on Appropriations,Karen Keiser,,,
2001-02,House Committee on Appropriations,Phyllis Kenney,,,
2001-02,House Committee on Appropriations,Lynn Kessler,,,
2001-02,House Committee on Appropriations,Kelli Linville,,,
2001-02,House Committee on Appropriations,Barbara Lisk,,,
2001-02,House Committee on Appropriations,Dave Mastin,,,
2001-02,House Committee on Appropriations,Jim McIntire,,,
2001-02,House Committee on Appropriations,Kirk Pearson,,,
2001-02,House Committee on Appropriations,Cheryl Pflug,,,
2001-02,House Committee on Appropriations,Laura Ruderman,,,
2001-02,House Committee on Appropriations,Shay Schual-Berke,,,
2001-02,House Committee on Appropriations,Gigi Talcott,,,
2001-02,House Committee on Appropriations,Kip Tokuda,,,
2001-02,House Committee on Capital Budget,Ed Murray,1,,
2001-02,House Committee on Capital Budget,Jim McIntire,,1,
2001-02,House Committee on Capital Budget,Gary Alexander,1,,
2001-02,House Committee on Capital Budget,Mike Armstrong,,1,
2001-02,House Committee on Capital Budget,Roger Bush,,,
2001-02,House Committee on Capital Budget,Sarah Casada,,,
2001-02,House Committee on Capital Budget,Maralyn Chase,,,
2001-02,House Committee on Capital Budget,Luke Esser,,1,
2001-02,House Committee on Capital Budget,Shirley Hankins,,,
2001-02,House Committee on Capital Budget,Sam Hunt,,,
2001-02,House Committee on Capital Budget,Patricia Lantz,,,
2001-02,House Committee on Capital Budget,Al O'Brien,,,
2001-02,House Committee on Capital Budget,Val Ogden,,,
2001-02,House Committee on Capital Budget,Erik Poulsen,,,
2001-02,House Committee on Capital Budget,Aaron Reardon,,,
2001-02,House Committee on Capital Budget,Mark Schoesler,,,
2001-02,House Committee on Capital Budget,Velma Veloria,,,
2001-02,House Committee on Capital Budget,Beverly Woods,,,
2001-02,House Committee on Children & Family Services,Kip Tokuda,1,,
2001-02,House Committee on Children & Family Services,Ruth Kagi,,1,
2001-02,House Committee on Children & Family Services,Marc Boldt,1,,
2001-02,House Committee on Children & Family Services,Jeannie Darneille,,,
2001-02,House Committee on Children & Family Services,Mary Lou Dickerson,,,
2001-02,House Committee on Children & Family Services,Mark Miloscia,,,
2001-02,House Committee on Children & Family Services,Dave Morell,,1,
2001-02,House Committee on Commerce & Labor,Steve Conway,1,,
2001-02,House Committee on Commerce & Labor,Alex Wood,,1,
2001-02,House Committee on Commerce & Labor,Jim Clements,1,,
2001-02,House Committee on Commerce & Labor,Bruce Chandler,,1,
2001-02,House Committee on Commerce & Labor,Larry Crouse,,,
2001-02,House Committee on Commerce & Labor,Jane'a Holmquist,,,
2001-02,House Committee on Commerce & Labor,Phyllis Kenney,,,
2001-02,House Committee on Commerce & Labor,Toni Lysen,,,
2001-02,House Committee on Criminal Justice & Corrections,Al O'Brien,,1,
2001-02,House Committee on Criminal Justice & Corrections,John Lovick,,,1
2001-02,House Committee on Criminal Justice & Corrections,Ida Ballasiotes,,1,
2001-02,House Committee on Criminal Justice & Corrections,John Ahern,,,1
2001-02,House Committee on Criminal Justice & Corrections,Ruth Kagi,,,
2001-02,House Committee on Criminal Justice & Corrections,Dave Morell,,,
2001-02,House Committee on Education,Dave Quall,1,,
2001-02,House Committee on Education,Kathy Haigh,,1,
2001-02,House Committee on Education,Gigi Talcott,1,,
2001-02,House Committee on Education,Glenn Anderson,,1,
2001-02,House Committee on Education,Don Cox,,,
2001-02,House Committee on Education,Karen Keiser,,,
2001-02,House Committee on Education,Joe McDermott,,,
2001-02,House Committee on Education,Phil Rockefeller,,,
2001-02,House Committee on Education,Sharon Tomiko Santos,,,
2001-02,House Committee on Education,Dave Schmidt,,,
2001-02,House Committee on Education,Dave Upthegrove,,,
2001-02,House Committee on Finance,Jeff Gombosky,,,
2001-02,House Committee on Finance,Jean Berkey,,1,
2001-02,House Committee on Finance,Jack Cairnes,1,,
2001-02,House Committee on Finance,Steve Conway,1,,
2001-02,House Committee on Finance,Jeff Morris,,,
2001-02,House Committee on Finance,Toby Nixon,,,
2001-02,House Committee on Finance,Ed Orcutt,,,
2001-02,House Committee on Finance,Dan Roach,,1,
2001-02,House Committee on Finance,Sharon Tomiko Santos,,,
2001-02,House Committee on Finance,Steve Van Luven,,,
2001-02,House Committee on Finance,Velma Veloria,,,
2001-02,House Committee on Financial Institutions & Insurance,Mike Cooper,,,
2001-02,House Committee on Financial Institutions & Insurance,Jim McIntire,,1,
2001-02,House Committee on Financial Institutions & Insurance,Brad Benson,1,,
2001-02,House Committee on Financial Institutions & Insurance,Kelly Barlean,,,
2001-02,House Committee on Financial Institutions & Insurance,Jack Cairnes,,,
2001-02,House Committee on Financial Institutions & Insurance,Brian Hatfield,1,,
2001-02,House Committee on Financial Institutions & Insurance,Karen Keiser,,,
2001-02,House Committee on Financial Institutions & Insurance,Tom Mielke,,,
2001-02,House Committee on Financial Institutions & Insurance,Mark Miloscia,,,
2001-02,House Committee on Financial Institutions & Insurance,Dan Roach,,,
2001-02,House Committee on Financial Institutions & Insurance,Sharon Tomiko Santos,,,
2001-02,House Committee on Financial Institutions & Insurance,Geoff Simpson,,,
2001-02,House Committee on Health Care,Eileen Cody,1,,
2001-02,House Committee on Health Care,Shay Schual-Berke,,1,
2001-02,House Committee on Health Care,Tom Campbell,1,,
