leg,biennium,sessTitle,dateStart,dateEnd
52,1991-92,R1,1/14/1991,4/28/1991
52,1991-92,S1,6/10/1991,6/30/1991
52,1991-92,R2,1/13/1992,3/12/1992
53,1993-94,R1,1/11/1993,4/25/1993
53,1993-94,S1,4/26/1993,5/6/1993
53,1993-94,R2,1/10/1994,3/10/1994
53,1993-94,S2,3/11/1994,3/14/1994
54,1995-96,R1,1/9/1995,4/23/1995
54,1995-96,S1,4/24/1995,5/23/1995
54,1995-96,S2,5/24/1995,5/25/1995
54,1995-96,S3,10/12/1995,10/14/1995
54,1995-96,R2,1/8/1996,3/7/1996
55,1997-98,R1,1/13/1997,4/27/1997
55,1997-98,S1,9/17/1997,9/17/1997
55,1997-98,R2,1/12/1998,3/12/1998
56,1999-00,R1,1/11/1999,4/25/1999
56,1999-00,S1,5/17/1999,5/19/1999
56,1999-00,R2,1/10/2000,3/9/2000
56,1999-00,S2,3/10/2000,4/7/2000
56,1999-00,S3,4/24/2000,4/27/2000
57,2001-02,R1,1/8/2001,4/22/2001
57,2001-02,S1,4/25/2001,5/24/2001
57,2001-02,S2,6/4/2001,6/21/2001
57,2001-02,S3,7/16/2001,7/25/2001
57,2001-02,R2,1/14/2002,3/14/2002
58,2003-04,R1,1/13/2003,4/27/2003
58,2003-04,S1,5/12/2003,6/10/2003
58,2003-04,S2,6/11/2003,6/11/2003
58,2003-04,S3,12/5/2003,12/5/2003
58,2003-04,R2,1/12/2004,3/11/2004
59,2005-06,R1,1/10/2005,4/24/2005
59,2005-06,R2,1/9/2006,3/9/2006
60,2007-08,R1,1/8/2007,4/22/2007
60,2007-08,S1,11/29/2007,11/29/2007
60,2007-08,R2,1/14/2008,3/13/2008
61,2009-10,R1,1/12/2009,4/26/2009
61,2009-10,R2,1/11/2010,3/11/2010
61,2009-10,S1,3/15/2010,4/12/2010
61,2009-10,S2,12/11/2010,12/11/2010
62,2011-12,R1,1/10/2011,4/22/2011
62,2011-12,S1,4/26/2011,5/25/2011
62,2011-12,S2,11/28/2011,12/14/2011
62,2011-12,R2,1/9/2012,3/8/2012
62,2011-12,S3,3/12/2012,4/10/2012
62,2011-12,S4,4/11/2012,4/11/2012
63,2013-14,R1,1/14/2013,4/28/2013
63,2013-14,S1,5/13/2013,6/11/2013
63,2013-14,S2,6/12/2013,6/29/2013
63,2013-14,S3,11/7/2013,11/9/2013
63,2013-14,R2,1/13/2014,3/13/2014
64,2015-16,R1,1/12/2015,4/24/2015
64,2015-16,S1,4/29/2015,5/28/2015
64,2015-16,S2,5/29/2015,6/27/2015
64,2015-16,S3,6/28/2015,7/10/2015
64,2015-16,R2,1/11/2016,3/10/2016
64,2015-16,S4,3/10/2016,3/29/2016
65,2017-18,R1,1/9/2017,4/23/2017
65,2017-18,S1,4/24/2017,5/23/2017
65,2017-18,S2,5/23/2017,6/21/2017
65,2017-18,S3,6/21/2017,7/20/2017
65,2017-18,R2,1/8/2018,3/8/2018
66,2019-20,R1,1/14/2019,4/28/2019
